date,open,close,high,low,volume,code
2005-05-09,1.915,1.833,1.938,1.833,13885.89,600003
2005-05-10,1.825,1.795,1.833,1.637,22083.78,600003
2005-05-11,1.788,1.743,1.803,1.72,9344.33,600003
2005-05-12,1.728,1.78,1.795,1.712,12941.33,600003
2005-05-13,1.773,1.773,1.795,1.728,13883.14,600003
2005-05-16,1.765,1.728,1.773,1.712,7346.08,600003
2005-05-17,1.72,1.743,1.765,1.705,8730.42,600003
2005-05-18,1.743,1.795,1.803,1.735,10035.0,600003
2005-05-20,1.78,1.803,1.833,1.765,17233.0,600003
2005-05-23,1.788,1.78,1.795,1.758,7988.71,600003
2005-05-24,1.818,1.848,1.87,1.803,27978.66,600003
2005-05-25,1.855,1.818,1.863,1.81,17482.98,600003
2005-05-26,1.818,1.825,1.863,1.795,12717.95,600003
2005-05-27,1.825,1.803,1.848,1.78,8974.75,600003
2005-05-30,1.803,1.848,1.855,1.803,9416.54,600003
2005-05-31,1.848,1.833,1.855,1.825,7015.0,600003
2005-06-01,1.825,1.78,1.84,1.765,12214.01,600003
2005-06-02,1.765,1.758,1.795,1.75,7736.72,600003
2005-06-03,1.75,1.75,1.788,1.75,6236.46,600003
2005-06-06,1.743,1.78,1.78,1.728,6158.04,600003
2005-06-07,1.803,1.765,1.818,1.758,8887.51,600003
2005-06-08,1.765,1.908,1.923,1.765,51623.21,600003
2005-06-09,1.915,1.961,2.021,1.87,60367.95,600003
2005-06-10,1.961,1.931,1.961,1.9,27466.71,600003
2005-06-13,1.931,1.931,1.946,1.878,15118.78,600003
2005-06-14,2.006,1.893,2.006,1.885,15781.99,600003
2005-06-15,1.878,1.84,1.915,1.84,12619.0,600003
2005-06-16,1.833,1.863,1.87,1.818,8535.03,600003
2005-06-17,1.863,1.878,1.908,1.863,11903.25,600003
2005-06-20,1.893,1.938,1.953,1.863,21276.23,600003
2005-06-21,1.938,1.915,1.938,1.893,9381.5,600003
2005-06-22,1.9,1.923,1.931,1.893,8795.01,600003
2005-06-23,1.931,1.885,1.938,1.87,9727.71,600003
2005-06-24,1.87,1.923,1.991,1.863,19094.16,600003
