date,open,close,high,low,volume,code
2005-05-09,8.805,8.822,9.183,8.805,15427.9,600009
2005-05-10,8.78,8.478,8.94,8.183,91755.53,600009
2005-05-11,8.486,8.141,8.612,8.141,28690.69,600009
2005-05-12,8.141,7.999,8.293,7.923,82355.41,600009
2005-05-13,7.847,7.931,8.251,7.847,37084.57,600009
2005-05-16,7.973,7.688,8.133,7.679,28478.5,600009
2005-05-17,7.763,7.973,8.125,7.679,13942.7,600009
2005-05-18,7.973,7.973,8.217,7.385,49383.98,600009
2005-05-19,7.898,7.906,8.066,7.57,23861.77,600009
2005-05-20,7.973,7.973,8.041,7.83,9205.51,600009
2005-05-23,8.049,7.797,8.057,7.688,14391.45,600009
2005-05-24,7.923,7.83,8.032,7.679,12561.55,600009
2005-05-25,7.83,7.856,7.915,7.721,9513.2,600009
2005-05-26,7.83,7.679,7.881,7.469,20937.6,600009
2005-05-27,7.679,7.242,7.755,6.982,56050.79,600009
2005-05-30,7.015,7.251,7.276,7.015,23009.05,600009
2005-05-31,7.209,7.368,7.452,7.099,14730.0,600009
2005-06-01,7.377,7.041,7.452,6.965,28829.82,600009
2005-06-02,6.948,6.419,7.284,6.377,67230.87,600009
2005-06-03,6.125,6.797,6.822,6.125,29429.01,600009
2005-06-06,6.772,7.377,7.393,6.688,23036.01,600009
2005-06-07,7.436,7.091,7.553,7.066,27391.5,600009
2005-06-08,7.553,8.217,8.326,7.108,70036.77,600009
2005-06-09,8.217,8.242,8.309,7.982,40739.94,600009
2005-06-10,8.225,8.133,8.242,7.94,39344.4,600009
2005-06-13,8.133,8.015,8.217,7.973,23846.86,600009
2005-06-14,8.125,7.999,8.478,7.973,20682.3,600009
2005-06-15,7.999,8.267,8.393,7.982,44727.92,600009
2005-06-16,8.267,8.427,8.436,8.15,17667.98,600009
2005-06-17,8.377,8.578,8.604,8.377,59108.66,600009
2005-06-20,8.595,9.091,9.251,8.595,74759.57,600009
2005-06-21,9.066,9.074,9.36,8.948,50225.44,600009
2005-06-22,9.057,9.368,9.461,8.99,44238.83,600009
2005-06-23,9.385,9.108,9.402,9.049,36070.69,600009
2005-06-24,9.066,9.066,9.217,8.982,43861.29,600009
2005-06-27,9.192,9.309,9.494,9.066,30548.01,600009
2005-06-28,9.234,9.066,9.259,8.999,22212.88,600009
2005-06-29,9.049,8.864,9.074,8.814,15985.6,600009
2005-06-30,8.814,8.982,8.99,8.57,18350.13,600009
2005-07-01,8.814,8.587,8.814,8.469,15172.08,600009
2005-07-04,8.478,8.604,8.78,8.478,10345.6,600009
2005-07-05,8.536,8.688,8.73,8.528,6982.5,600009
2005-07-06,8.688,8.36,8.713,8.309,8922.1,600009
2005-07-07,8.301,8.276,8.41,8.074,10395.51,600009
2005-07-08,8.15,8.36,8.393,8.099,5956.0,600009
2005-07-11,8.393,8.393,8.73,8.377,17814.12,600009
2005-07-12,8.393,8.797,9.066,8.293,17337.8,600009
2005-07-13,8.73,8.637,8.772,8.486,14334.2,600009
2005-07-14,8.721,8.78,8.788,8.511,30812.51,600009
2005-07-15,8.78,8.713,8.78,8.679,6358.7,600009
2005-07-18,8.721,8.713,8.755,8.604,10676.96,600009
2005-07-19,8.713,8.713,8.755,8.696,6531.72,600009
2005-07-20,8.704,8.915,8.923,8.646,17497.46,600009
2005-07-21,8.94,8.73,8.94,8.688,24137.18,600009
2005-07-22,8.889,8.772,8.923,8.562,57052.84,600009
2005-07-25,8.654,8.427,8.872,8.309,22884.07,600009
2005-07-26,8.427,8.755,8.805,8.393,35430.59,600009
2005-07-27,8.772,9.41,9.444,8.73,40367.1,600009
2005-07-28,9.419,9.234,9.511,9.066,48596.72,600009
2005-07-29,9.217,9.125,9.276,9.049,20354.45,600009
2005-08-01,9.125,9.074,9.36,9.057,10680.15,600009
2005-08-02,9.049,9.057,9.108,8.965,15679.53,600009
2005-08-03,9.066,9.032,9.108,8.881,59309.22,600009
2005-08-04,9.032,9.099,9.141,8.982,15549.52,600009
2005-08-05,9.225,9.478,9.528,9.108,41625.05,600009
2005-08-08,9.57,9.2,9.654,9.175,26845.53,600009
2005-08-09,9.225,9.066,9.242,8.982,30464.06,600009
2005-08-10,9.057,9.108,9.225,9.024,24734.23,600009
2005-08-11,9.15,9.553,9.721,9.049,74260.41,600009
2005-08-12,9.578,9.377,9.578,9.251,29372.92,600009
2005-08-15,9.301,9.2,9.309,9.032,89446.96,600009
2005-08-16,9.066,8.688,9.066,8.562,101183.45,600009
2005-08-17,8.646,8.864,8.931,8.41,45988.55,600009
2005-08-18,8.856,8.73,8.856,8.562,45346.5,600009
2005-08-19,8.646,8.452,8.646,8.419,42665.0,600009
2005-08-22,8.452,8.478,8.629,8.066,55441.77,600009
2005-08-23,8.478,8.385,8.478,8.225,34870.36,600009
2005-08-24,8.368,8.436,8.629,8.259,16686.09,600009
2005-08-25,8.393,8.267,8.478,8.217,31493.45,600009
2005-08-26,8.276,8.267,8.461,8.217,27315.25,600009
2005-08-29,8.225,8.385,8.553,8.225,23677.01,600009
2005-08-30,8.351,8.528,8.553,8.309,21369.14,600009
2005-08-31,8.553,8.604,8.646,8.469,29450.49,600009
2005-09-01,8.604,8.704,8.73,8.436,35197.92,600009
2005-09-02,8.654,8.511,8.73,8.41,31924.23,600009
2005-09-05,8.637,8.335,8.637,8.234,20874.04,600009
2005-09-06,8.335,8.066,8.335,8.041,43078.26,600009
2005-09-07,8.083,8.15,8.183,7.788,65902.68,600009
2005-09-08,8.309,8.746,9.234,8.309,181868.87,600009
2005-09-09,8.746,8.595,8.94,8.478,41000.0,600009
2005-09-12,8.646,8.478,8.688,8.419,23613.92,600009
2005-09-13,8.478,8.536,8.562,8.402,16824.86,600009
2005-09-14,8.562,8.562,8.587,8.335,38393.8,600009
2005-09-15,8.553,8.528,8.688,8.436,13518.2,600009
2005-09-16,8.52,8.36,8.646,8.301,27429.63,600009
2005-09-19,8.393,8.225,8.393,8.158,42584.77,600009
2005-09-20,8.225,8.175,8.377,8.15,11568.8,600009
2005-09-21,8.141,7.948,8.167,7.906,47591.17,600009
2005-09-22,7.973,7.889,7.973,7.805,28791.0,600009
2005-09-23,7.889,7.889,7.931,7.788,24742.25,600009
2005-09-26,7.872,7.973,8.083,7.847,15409.55,600009
2005-09-27,8.049,7.83,8.099,7.805,17103.73,600009
2005-09-28,7.788,7.889,7.915,7.738,14098.4,600009
2005-09-29,7.973,8.074,8.267,7.906,20139.34,600009
2005-09-30,8.125,7.957,8.225,7.805,21617.2,600009
2005-10-10,7.965,7.889,8.074,7.856,15978.0,600009
2005-10-11,7.889,7.898,7.931,7.805,12677.98,600009
2005-10-12,7.915,7.721,7.965,7.688,33740.1,600009
2005-10-13,7.713,7.343,7.713,7.284,69031.01,600009
2005-10-14,7.377,7.217,7.461,7.108,28587.89,600009
2005-10-17,7.133,7.007,7.444,6.856,50815.48,600009
2005-10-18,6.948,7.133,7.133,6.78,41677.56,600009
2005-10-19,7.133,7.158,7.259,7.032,22186.62,600009
2005-10-20,7.158,7.284,7.326,7.158,15344.51,600009
2005-10-21,7.284,7.041,7.351,7.024,23727.02,600009
2005-10-24,7.041,6.814,7.041,6.78,52353.33,600009
2005-10-25,6.839,6.696,6.839,6.469,78277.34,600009
2005-10-26,6.528,6.864,6.957,6.528,28337.97,600009
2005-10-27,6.797,7.091,7.209,6.721,64182.2,600009
2005-10-28,7.024,6.973,7.343,6.545,36340.0,600009
2005-10-31,6.797,7.259,7.343,6.797,20405.37,600009
2005-11-01,7.251,7.41,7.469,7.183,26725.4,600009
2005-11-02,7.427,7.251,7.553,7.225,20593.86,600009
2005-11-03,7.259,7.158,7.368,6.881,18872.34,600009
2005-11-04,7.133,7.091,7.192,6.965,25568.9,600009
2005-11-07,7.074,6.948,7.301,6.797,11327.77,600009
2005-11-08,6.957,6.881,6.982,6.78,12472.45,600009
2005-11-09,6.881,6.923,7.116,6.839,22241.31,600009
2005-11-10,6.923,6.671,6.965,6.57,40138.71,600009
2005-11-11,6.671,6.948,6.999,6.553,19813.13,600009
2005-11-14,6.881,6.814,6.881,6.721,6260.4,600009
2005-11-15,6.814,6.587,6.864,6.57,11255.6,600009
2005-11-16,6.604,6.217,6.629,6.074,44405.32,600009
2005-11-17,6.192,6.318,6.318,6.041,13033.68,600009
2005-11-18,6.293,6.536,6.713,6.125,30815.65,600009
2005-11-21,6.528,6.73,6.83,6.503,28795.78,600009
2005-11-22,6.696,6.696,6.797,6.612,9092.72,600009
2005-11-23,6.629,6.788,6.797,6.587,6768.61,600009
2005-11-24,6.788,6.704,6.788,6.469,29842.03,600009
2005-11-25,6.646,6.797,6.797,6.629,8666.58,600009
2005-11-28,6.78,6.696,6.78,6.629,19734.88,600009
2005-11-29,6.671,6.704,6.797,6.62,10500.37,600009
2005-11-30,6.704,6.503,6.755,6.486,8193.55,600009
2005-12-01,6.469,6.419,6.578,6.385,16373.64,600009
2005-12-02,6.402,6.032,6.402,5.982,72250.08,600009
2005-12-05,5.999,5.62,6.049,5.595,78982.52,600009
2005-12-06,5.62,5.704,5.772,5.36,123901.08,600009
