date,open,close,high,low,volume,code
2005-05-09,0.51,0.493,0.521,0.493,2287.0,600067
2005-05-10,0.491,0.513,0.518,0.471,10241.29,600067
2005-05-11,0.513,0.493,0.515,0.493,2641.0,600067
2005-05-12,0.491,0.485,0.513,0.482,7098.0,600067
2005-05-13,0.488,0.485,0.504,0.471,7514.38,600067
2005-05-16,0.482,0.499,0.502,0.48,7993.12,600067
2005-05-17,0.502,0.488,0.507,0.485,5254.0,600067
2005-05-18,0.485,0.496,0.51,0.485,12791.92,600067
2005-05-19,0.491,0.504,0.513,0.469,6973.73,600067
2005-05-20,0.499,0.496,0.51,0.488,5361.0,600067
2005-05-23,0.496,0.488,0.507,0.482,9487.0,600067
2005-05-24,0.488,0.488,0.499,0.477,6737.87,600067
2005-05-25,0.491,0.491,0.504,0.482,6729.0,600067
2005-05-26,0.488,0.488,0.499,0.485,6358.0,600067
2005-05-27,0.491,0.485,0.502,0.482,16255.0,600067
2005-05-30,0.488,0.469,0.488,0.458,14346.2,600067
2005-06-01,0.466,0.43,0.469,0.394,9321.0,600067
2005-06-02,0.422,0.386,0.425,0.287,23308.06,600067
2005-06-03,0.369,0.345,0.386,0.32,7712.87,600067
2005-06-06,0.339,0.358,0.381,0.328,10905.41,600067
2005-06-07,0.353,0.361,0.383,0.345,24555.2,600067
2005-06-08,0.367,0.477,0.507,0.358,43199.95,600067
2005-06-09,0.471,0.447,0.485,0.43,11526.21,600067
2005-06-10,0.444,0.408,0.458,0.408,7134.77,600067
2005-06-13,0.397,0.381,0.408,0.356,2931.4,600067
2005-06-14,0.375,0.397,0.436,0.375,7125.0,600067
2005-06-15,0.397,0.356,0.411,0.356,3547.0,600067
2005-06-16,0.361,0.369,0.386,0.345,11602.4,600067
2005-06-17,0.367,0.372,0.4,0.356,6607.0,600067
2005-06-20,0.367,0.392,0.403,0.361,7622.92,600067
2005-06-21,0.386,0.367,0.403,0.364,3628.85,600067
2005-06-22,0.367,0.347,0.386,0.334,4449.24,600067
2005-06-23,0.339,0.328,0.361,0.32,5069.02,600067
2005-06-24,0.325,0.323,0.334,0.32,1181.5,600067
2005-06-27,0.325,0.339,0.364,0.317,11180.27,600067
2005-06-28,0.353,0.325,0.353,0.32,7360.0,600067
2005-06-29,0.314,0.325,0.334,0.314,6655.38,600067
2005-06-30,0.325,0.325,0.328,0.306,19769.92,600067
2005-07-01,0.32,0.303,0.328,0.301,8515.0,600067
2005-07-04,0.303,0.301,0.312,0.259,4285.64,600067
2005-07-05,0.298,0.298,0.317,0.29,7086.0,600067
2005-07-06,0.295,0.298,0.314,0.276,3182.81,600067
2005-07-07,0.298,0.298,0.306,0.287,3163.24,600067
2005-07-08,0.295,0.303,0.317,0.287,21579.93,600067
2005-07-11,0.303,0.301,0.309,0.284,5615.09,600067
2005-07-12,0.287,0.303,0.325,0.273,8890.72,600067
2005-07-13,0.303,0.292,0.312,0.259,10737.22,600067
2005-07-14,0.301,0.292,0.306,0.279,5017.72,600067
2005-07-15,0.292,0.303,0.303,0.265,4035.39,600067
2005-07-18,0.303,0.298,0.303,0.273,7577.37,600067
