date,open,close,high,low,volume,code
2005-05-09,0.443,0.426,0.446,0.421,11869.02,600010
2005-05-10,0.426,0.427,0.43,0.42,8590.68,600010
2005-05-11,0.426,0.423,0.43,0.421,8051.7,600010
2005-05-12,0.423,0.4,0.426,0.392,46181.13,600010
2005-05-13,0.398,0.403,0.406,0.395,12329.12,600010
2005-05-16,0.404,0.387,0.404,0.383,14884.56,600010
2005-05-17,0.384,0.398,0.4,0.38,14384.67,600010
2005-05-18,0.398,0.401,0.404,0.393,10469.19,600010
2005-05-19,0.401,0.406,0.407,0.396,12280.18,600010
2005-05-20,0.406,0.409,0.412,0.401,13307.29,600010
2005-05-23,0.406,0.393,0.406,0.392,6613.98,600010
2005-05-24,0.39,0.396,0.401,0.39,6365.11,600010
2005-05-25,0.398,0.398,0.401,0.393,6367.3,600010
2005-05-26,0.398,0.398,0.401,0.393,7501.39,600010
2005-05-27,0.398,0.395,0.403,0.393,9250.78,600010
2005-05-30,0.395,0.407,0.407,0.389,15453.61,600010
2005-05-31,0.406,0.401,0.409,0.398,7400.0,600010
2005-06-01,0.401,0.396,0.406,0.395,11296.25,600010
2005-06-02,0.392,0.384,0.395,0.38,16346.0,600010
2005-06-03,0.383,0.378,0.384,0.373,17612.5,600010
2005-06-06,0.378,0.38,0.381,0.363,21520.22,600010
2005-06-07,0.387,0.378,0.39,0.376,23938.73,600010
2005-06-08,0.376,0.424,0.427,0.376,65923.63,600010
2005-06-09,0.427,0.421,0.43,0.413,54305.49,600010
2005-06-10,0.423,0.407,0.423,0.404,29533.23,600010
2005-06-13,0.409,0.412,0.416,0.403,18873.1,600010
2005-06-14,0.413,0.41,0.423,0.409,17800.24,600010
2005-06-15,0.41,0.404,0.416,0.403,18229.1,600010
2005-06-16,0.404,0.41,0.413,0.404,11090.4,600010
2005-06-17,0.43,0.427,0.461,0.421,120927.74,600010
2005-06-20,0.427,0.438,0.441,0.418,41371.5,600010
2005-06-21,0.438,0.426,0.438,0.424,28775.16,600010
2005-06-22,0.441,0.44,0.447,0.433,44096.11,600010
2005-06-23,0.438,0.432,0.44,0.43,18734.0,600010
2005-06-24,0.432,0.438,0.441,0.432,15613.14,600010
2005-06-27,0.444,0.45,0.453,0.441,44776.19,600010
2005-06-28,0.449,0.438,0.449,0.436,22657.26,600010
2005-06-29,0.441,0.435,0.444,0.435,15844.24,600010
2005-06-30,0.435,0.424,0.436,0.424,21572.93,600010
2005-07-01,0.421,0.42,0.429,0.418,14617.99,600010
2005-07-04,0.418,0.423,0.423,0.412,18439.41,600010
