date,open,close,high,low,volume,code
2005-05-09,0.187,-0.005,0.187,-0.047,1552.5,600262
2005-05-10,-0.03,0.012,0.037,-0.088,1875.45,600262
2005-05-11,0.02,0.012,0.053,-0.005,1322.9,600262
2005-05-12,0.02,0.012,0.053,-0.03,1147.0,600262
2005-05-13,0.037,0.128,0.137,0.02,2608.84,600262
2005-05-16,0.112,0.128,0.137,0.078,1406.9,600262
2005-05-17,0.12,0.145,0.187,0.12,1567.5,600262
2005-05-18,0.128,0.17,0.17,0.112,760.0,600262
2005-05-19,0.195,0.178,0.195,0.12,1745.63,600262
2005-05-20,0.128,0.137,0.178,0.128,1080.0,600262
2005-05-23,0.187,0.045,0.187,0.028,1030.2,600262
2005-05-24,-0.022,0.12,0.137,-0.022,1068.71,600262
2005-05-25,0.112,0.162,0.245,0.112,2646.29,600262
2005-05-26,0.137,0.162,0.17,0.128,1172.0,600262
2005-05-27,0.112,0.162,0.228,0.112,1840.0,600262
2005-05-30,0.153,0.22,0.237,0.153,1971.0,600262
2005-05-31,0.503,0.395,0.503,0.37,41339.16,600262
2005-06-01,0.312,0.22,0.312,0.162,14785.52,600262
2005-06-02,0.17,0.203,0.237,0.162,3691.0,600262
2005-06-03,0.178,0.153,0.22,0.087,5777.0,600262
2005-06-06,0.162,0.153,0.17,0.053,5083.0,600262
2005-06-07,0.178,0.187,0.203,0.12,9402.35,600262
2005-06-08,0.187,0.378,0.42,0.162,74431.36,600262
2005-06-09,0.345,0.362,0.403,0.295,31306.94,600262
2005-06-10,0.353,0.262,0.37,0.253,15638.5,600262
2005-06-13,0.32,0.32,0.362,0.253,14993.03,600262
2005-06-14,0.337,0.253,0.345,0.245,9372.1,600262
2005-06-15,0.228,0.162,0.27,0.137,8063.4,600262
2005-06-16,0.162,0.17,0.187,0.078,6052.5,600262
2005-06-17,0.212,0.17,0.212,0.153,3889.0,600262
2005-06-20,0.137,0.22,0.228,0.078,8361.3,600262
2005-06-21,0.22,0.187,0.22,0.153,4169.82,600262
2005-06-22,0.178,0.253,0.262,0.17,6017.75,600262
2005-06-23,0.245,0.212,0.278,0.195,5874.0,600262
2005-06-24,0.212,0.203,0.22,0.162,3264.16,600262
2005-06-27,0.212,0.295,0.312,0.212,12437.48,600262
2005-06-28,0.295,0.328,0.337,0.212,16330.77,600262
2005-06-29,0.312,0.253,0.337,0.245,12410.77,600262
2005-06-30,0.262,0.17,0.278,0.153,7108.9,600262
2005-07-01,0.17,0.003,0.17,-0.013,6413.5,600262
2005-07-04,0.003,-0.105,0.02,-0.23,8692.2,600262
2005-07-05,-0.13,-0.122,-0.105,-0.18,3042.0,600262
2005-07-06,-0.122,-0.13,-0.097,-0.172,2345.02,600262
2005-07-07,-0.13,-0.105,-0.08,-0.138,4153.99,600262
2005-07-08,-0.13,-0.255,-0.113,-0.255,3834.01,600262
2005-07-11,-0.205,-0.313,-0.172,-0.322,3496.0,600262
2005-07-12,-0.33,-0.23,-0.222,-0.355,5055.0,600262
2005-07-13,-0.23,-0.288,-0.23,-0.297,3821.9,600262
2005-07-14,-0.28,-0.205,-0.163,-0.305,9816.0,600262
2005-07-15,-0.205,-0.297,-0.172,-0.313,7122.25,600262
2005-07-18,-0.322,-0.422,-0.263,-0.463,5179.99,600262
2005-07-19,-0.422,-0.238,-0.238,-0.422,15446.2,600262
2005-07-20,-0.297,-0.272,-0.238,-0.305,10180.46,600262
2005-07-21,-0.288,-0.297,-0.255,-0.347,4985.51,600262
2005-07-22,-0.272,-0.23,-0.188,-0.297,10928.34,600262
2005-07-25,-0.247,-0.23,-0.205,-0.263,4522.81,600262
2005-07-26,-0.23,-0.172,-0.147,-0.247,12678.17,600262
2005-07-27,-0.155,-0.13,-0.113,-0.188,9755.51,600262
2005-07-28,-0.13,-0.172,-0.113,-0.188,10613.84,600262
2005-07-29,-0.197,-0.18,-0.147,-0.197,5403.0,600262
2005-08-01,-0.197,-0.13,-0.122,-0.197,6056.19,600262
2005-08-02,-0.13,-0.097,-0.08,-0.163,7909.57,600262
2005-08-03,-0.097,-0.047,0.037,-0.097,19604.0,600262
2005-08-04,-0.063,-0.08,-0.047,-0.088,7719.04,600262
2005-08-05,-0.063,-0.005,0.003,-0.063,9251.93,600262
2005-08-08,0.003,0.012,0.045,-0.022,11377.09,600262
2005-08-09,0.012,0.07,0.078,-0.013,12266.41,600262
2005-08-10,0.07,0.103,0.103,0.02,11932.22,600262
2005-08-11,0.103,0.17,0.187,0.053,20549.99,600262
2005-08-12,0.162,0.062,0.245,0.028,17899.57,600262
2005-08-15,0.053,0.137,0.153,0.053,10871.83,600262
2005-08-16,0.137,0.145,0.203,0.095,11715.89,600262
2005-08-17,0.137,0.195,0.228,-0.013,13969.71,600262
2005-08-18,0.187,0.095,0.27,0.087,21556.11,600262
2005-08-19,0.078,0.078,0.128,0.003,9588.61,600262
2005-08-22,0.078,0.162,0.178,0.053,6898.94,600262
2005-08-23,0.187,0.078,0.187,0.037,7171.89,600262
2005-08-24,0.078,0.103,0.112,0.053,5568.8,600262
2005-08-26,0.145,0.162,0.17,0.103,10232.15,600262
2005-08-29,0.187,0.17,0.203,0.128,11984.0,600262
2005-08-30,0.153,0.153,0.178,0.128,6438.97,600262
2005-08-31,0.153,0.253,0.27,0.128,23991.88,600262
2005-09-01,0.253,0.462,0.478,0.203,43571.89,600262
