date,open,close,high,low,volume,code
2005-05-09,1.734,1.75,1.865,1.634,19820.82,600011
2005-05-10,1.688,1.634,1.765,1.542,17454.33,600011
2005-05-12,1.542,1.365,1.619,1.311,20404.12,600011
2005-05-13,1.327,1.38,1.45,1.327,24875.8,600011
2005-05-16,1.388,1.25,1.396,1.134,20582.0,600011
2005-05-17,1.25,1.134,1.273,1.127,18643.26,600011
2005-05-18,1.119,1.104,1.234,1.057,16290.7,600011
2005-05-19,1.134,1.204,1.219,1.042,17272.54,600011
2005-05-20,1.204,1.273,1.304,1.134,12471.99,600011
2005-05-23,1.265,1.157,1.273,1.142,12782.8,600011
2005-05-24,1.157,0.904,1.204,0.773,49385.76,600011
2005-05-25,0.857,0.827,0.88,0.773,29471.53,600011
2005-05-26,0.842,0.788,0.873,0.788,19038.0,600011
2005-05-27,0.788,0.873,0.873,0.742,69850.58,600011
2005-05-30,0.873,0.88,0.904,0.811,39042.7,600011
2005-05-31,0.896,0.788,0.927,0.78,24084.88,600011
2005-06-01,0.811,0.696,0.811,0.673,21268.51,600011
2005-06-02,0.665,0.588,0.673,0.534,16617.79,600011
2005-06-03,0.588,0.596,0.673,0.48,22129.45,600011
2005-06-06,0.596,0.773,0.796,0.565,29673.5,600011
2005-06-07,0.773,0.75,0.85,0.696,31915.86,600011
2005-06-08,0.75,1.08,1.096,0.75,89120.4,600011
2005-06-09,1.05,1.096,1.134,0.934,81650.66,600011
2005-06-10,1.111,0.942,1.134,0.934,39079.87,600011
2005-06-13,0.942,0.911,1.019,0.834,15370.4,600011
2005-06-14,0.927,1.042,1.111,0.927,65472.76,600011
2005-06-15,1.042,1.011,1.073,0.942,22493.85,600011
2005-06-16,1.011,1.142,1.142,1.004,43815.25,600011
2005-06-17,1.157,1.219,1.242,1.111,31191.53,600011
2005-06-20,1.219,1.373,1.442,1.134,63324.53,600011
2005-06-21,1.404,1.211,1.419,1.204,31588.0,600011
2005-06-22,1.357,1.204,1.357,1.165,19104.54,600011
2005-06-23,1.211,1.188,1.25,1.157,18764.89,600011
2005-06-24,1.211,1.365,1.38,1.18,36611.11,600011
2005-06-27,1.404,1.488,1.504,1.211,38128.63,600011
2005-06-28,1.442,1.373,1.442,1.296,21125.26,600011
2005-06-29,1.35,1.388,1.419,1.327,14833.62,600011
2005-06-30,1.365,1.096,1.365,1.057,40907.13,600011
2005-07-01,1.096,1.019,1.096,0.98,32394.91,600011
2005-07-04,0.98,1.004,1.096,0.965,40795.08,600011
2005-07-05,1.019,0.988,1.065,0.965,37286.1,600011
2005-07-06,1.004,0.95,1.004,0.857,61510.88,600011
2005-07-07,0.965,0.919,0.973,0.896,23959.54,600011
2005-07-08,0.919,0.896,0.934,0.865,18990.07,600011
2005-07-11,0.95,0.957,1.027,0.919,44178.31,600011
2005-07-12,0.942,1.104,1.15,0.904,111991.8,600011
2005-07-13,1.096,1.065,1.096,1.019,36943.12,600011
2005-07-14,1.027,0.804,1.027,0.742,195040.37,600011
2005-07-15,0.657,0.557,0.711,0.442,101231.91,600011
2005-07-18,0.557,0.557,0.611,0.527,34576.42,600011
2005-07-19,0.565,0.48,0.588,0.48,44681.0,600011
2005-07-20,0.519,0.504,0.565,0.457,61711.75,600011
2005-07-21,0.519,0.519,0.557,0.496,49328.91,600011
2005-07-22,0.55,0.711,0.804,0.542,169818.26,600011
2005-07-25,0.688,0.78,0.796,0.665,29783.22,600011
2005-07-26,0.765,0.919,0.988,0.765,162396.68,600011
2005-07-27,0.934,0.911,0.95,0.804,82673.43,600011
2005-07-29,0.904,0.819,0.904,0.765,68327.21,600011
2005-08-01,0.788,0.842,0.942,0.773,31212.7,600011
2005-08-02,0.85,0.942,0.98,0.827,48470.18,600011
2005-08-03,0.965,0.934,1.057,0.927,113985.95,600011
2005-08-04,0.934,1.004,1.011,0.888,46836.72,600011
2005-08-05,1.004,1.065,1.08,0.95,62091.09,600011
2005-08-08,1.073,1.019,1.119,0.996,76409.88,600011
2005-08-09,1.019,0.965,1.05,0.904,69596.55,600011
2005-08-10,0.965,1.38,1.388,0.965,193114.23,600011
2005-08-11,1.365,1.48,1.634,1.334,250350.31,600011
2005-08-12,1.496,1.55,1.696,1.473,119271.42,600011
2005-08-15,1.557,1.596,1.65,1.411,76020.7,600011
2005-08-16,1.596,1.511,1.619,1.365,86657.24,600011
2005-08-17,1.442,1.519,1.542,1.38,49075.36,600011
2005-08-18,1.48,1.25,1.511,1.219,108626.23,600011
2005-08-19,1.25,1.427,1.434,1.25,92787.63,600011
2005-08-22,1.442,1.442,1.473,1.35,40471.36,600011
2005-08-23,1.442,1.357,1.496,1.35,32549.67,600011
2005-08-24,1.427,1.496,1.665,1.427,148571.0,600011
2005-08-25,1.488,1.473,1.573,1.388,48081.84,600011
2005-08-26,1.48,1.588,1.657,1.457,92008.9,600011
2005-08-29,1.596,1.419,1.611,1.327,98014.85,600011
2005-08-30,1.411,1.273,1.427,1.273,62011.74,600011
2005-08-31,1.265,1.327,1.35,1.211,42792.36,600011
2005-09-01,1.327,1.488,1.519,1.311,57355.35,600011
2005-09-02,1.496,1.465,1.511,1.411,45910.16,600011
2005-09-05,1.45,1.519,1.55,1.442,29934.51,600011
2005-09-06,1.511,1.365,1.55,1.327,41900.91,600011
2005-09-07,1.342,1.419,1.457,1.334,31180.14,600011
2005-09-08,1.419,1.365,1.488,1.342,41989.11,600011
2005-09-09,1.38,1.419,1.473,1.35,48669.64,600011
2005-09-12,1.427,1.365,1.434,1.304,37671.73,600011
2005-09-13,1.365,1.35,1.388,1.273,77917.58,600011
2005-09-14,1.342,1.465,1.473,1.327,101108.72,600011
2005-09-15,1.465,1.442,1.504,1.411,49168.89,600011
2005-09-16,1.442,1.357,1.457,1.327,61010.0,600011
2005-09-19,1.396,1.288,1.404,1.273,114297.4,600011
2005-09-20,1.288,1.211,1.304,1.204,115332.27,600011
2005-09-21,1.211,1.127,1.227,1.104,96428.19,600011
2005-09-22,1.134,1.042,1.142,0.973,89736.09,600011
2005-09-23,1.042,1.027,1.05,0.973,78909.93,600011
2005-09-26,1.027,0.927,1.057,0.857,65230.24,600011
2005-09-27,0.942,0.888,0.965,0.85,57399.31,600011
2005-09-28,0.865,0.888,0.98,0.85,38131.64,600011
2005-09-29,0.973,1.011,1.027,0.911,90926.91,600011
2005-09-30,1.042,0.98,1.057,0.973,29115.19,600011
2005-10-10,0.973,0.95,0.996,0.865,45784.01,600011
2005-10-11,0.965,0.973,0.98,0.911,29997.7,600011
2005-10-12,0.965,0.773,0.973,0.75,117488.27,600011
2005-10-13,0.773,0.734,0.796,0.696,77088.68,600011
2005-10-14,0.75,0.78,0.819,0.711,51065.06,600011
2005-10-17,0.788,0.627,0.788,0.58,65595.85,600011
2005-10-18,0.642,0.673,0.688,0.58,41841.1,600011
2005-10-19,0.696,0.734,0.796,0.642,53537.91,600011
2005-10-20,0.727,0.634,0.727,0.596,59402.47,600011
2005-10-21,0.619,0.68,0.727,0.604,52833.3,600011
2005-10-24,0.68,0.627,0.704,0.627,23868.17,600011
2005-10-25,0.634,0.519,0.65,0.511,55151.18,600011
2005-10-26,0.519,0.488,0.534,0.48,28037.99,600011
2005-10-27,0.465,0.534,0.55,0.442,44274.52,600011
2005-10-28,0.519,0.442,0.527,0.38,38938.76,600011
2005-10-31,0.442,0.511,0.527,0.411,29336.15,600011
2005-11-01,0.504,0.542,0.588,0.48,32673.99,600011
2005-11-02,0.565,0.627,0.642,0.55,70095.71,600011
2005-11-03,0.627,0.588,0.657,0.557,39619.47,600011
2005-11-04,0.58,0.596,0.619,0.557,39179.43,600011
2005-11-07,0.573,0.557,0.604,0.542,20207.22,600011
2005-11-08,0.565,0.604,0.627,0.519,21716.0,600011
2005-11-09,0.588,0.604,0.619,0.573,20120.83,600011
2005-11-10,0.596,0.58,0.611,0.519,52159.41,600011
2005-11-11,0.557,0.604,0.619,0.504,42690.95,600011
2005-11-14,0.596,0.557,0.611,0.534,10445.89,600011
2005-11-15,0.557,0.55,0.611,0.534,23634.71,600011
2005-11-16,0.534,0.55,0.557,0.427,51331.11,600011
2005-11-18,0.48,0.68,0.704,0.48,117708.46,600011
2005-11-21,0.711,0.742,0.765,0.68,72289.2,600011
2005-11-22,0.719,0.642,0.734,0.627,19965.65,600011
2005-11-23,0.619,0.711,0.719,0.604,14459.44,600011
2005-11-24,0.696,0.727,0.75,0.657,14270.7,600011
2005-11-25,0.711,0.727,0.788,0.696,11650.88,600011
2005-11-28,0.727,0.704,0.788,0.665,12372.0,600011
2005-11-29,0.65,0.642,0.711,0.634,9156.0,600011
2005-11-30,0.627,0.627,0.673,0.611,10619.56,600011
2005-12-01,0.611,0.604,0.634,0.55,19114.9,600011
2005-12-02,0.604,0.665,0.673,0.565,21478.1,600011
2005-12-05,0.657,0.627,0.673,0.604,25136.99,600011
2005-12-06,0.573,0.711,0.711,0.573,40903.48,600011
2005-12-07,0.719,0.788,0.796,0.696,50569.2,600011
2005-12-08,0.788,0.865,0.904,0.75,70376.64,600011
2005-12-09,0.865,0.857,0.88,0.819,26627.02,600011
2005-12-12,0.857,0.827,0.865,0.75,58358.9,600011
2005-12-13,0.819,0.827,0.842,0.773,30681.11,600011
2005-12-14,0.842,0.88,0.896,0.819,43484.64,600011
2005-12-15,0.873,0.88,0.927,0.804,78506.2,600011
2005-12-16,0.857,0.904,0.911,0.827,17887.8,600011
2005-12-19,0.865,0.904,0.911,0.827,28922.94,600011
2005-12-20,0.834,0.865,0.911,0.827,27554.7,600011
2005-12-21,0.834,0.834,0.988,0.827,48801.0,600011
2005-12-22,0.827,0.957,0.996,0.827,70662.38,600011
2005-12-23,0.919,0.996,1.042,0.919,34641.05,600011
2005-12-26,1.019,1.096,1.111,1.011,51306.48,600011
2005-12-27,1.104,1.011,1.119,0.98,22776.64,600011
2005-12-28,1.011,0.98,1.042,0.95,50762.9,600011
2005-12-29,0.98,1.065,1.065,0.934,49904.99,600011
2005-12-30,1.027,0.78,1.08,0.773,93681.85,600011
2006-01-04,0.865,0.957,1.034,0.865,116508.3,600011
2006-01-05,0.957,1.065,1.104,0.896,123839.49,600011
2006-01-06,1.065,1.196,1.219,1.011,110379.18,600011
2006-01-09,1.196,1.119,1.196,1.088,50451.65,600011
2006-01-10,1.134,1.027,1.15,0.965,81849.05,600011
2006-01-11,1.019,1.05,1.08,0.957,102473.53,600011
2006-01-12,1.034,1.073,1.104,1.011,45283.21,600011
2006-01-13,1.073,1.011,1.104,0.98,48481.88,600011
2006-01-16,1.011,0.98,1.027,0.95,28563.0,600011
2006-01-17,0.965,1.027,1.034,0.927,38293.77,600011
2006-01-19,1.08,1.004,1.096,0.98,39827.67,600011
2006-01-20,1.011,1.211,1.304,0.996,194151.18,600011
