date,open,close,high,low,volume,code
2005-05-09,1.637,1.575,1.681,1.569,197338.34,600005
2005-05-10,1.575,1.662,1.668,1.575,352454.91,600005
2005-05-11,1.662,1.644,1.675,1.613,197400.0,600005
2005-05-12,1.637,1.575,1.662,1.563,308969.9,600005
2005-05-13,1.582,1.582,1.637,1.55,446124.53,600005
2005-05-16,1.582,1.532,1.6,1.501,323422.61,600005
2005-05-17,1.532,1.55,1.582,1.507,318904.84,600005
2005-05-18,1.55,1.575,1.582,1.538,180782.45,600005
2005-05-19,1.582,1.606,1.625,1.538,283628.93,600005
2005-05-20,1.606,1.675,1.687,1.6,666157.26,600005
2005-05-23,1.687,1.662,1.7,1.662,367341.85,600005
2005-05-24,1.656,1.619,1.675,1.55,497713.59,600005
2005-05-25,1.619,1.631,1.656,1.582,209435.1,600005
2005-05-26,1.631,1.619,1.662,1.606,202061.89,600005
2005-05-27,1.619,1.637,1.675,1.606,240402.72,600005
2005-05-30,1.637,1.675,1.681,1.631,190656.14,600005
2005-05-31,1.687,1.681,1.718,1.668,257211.84,600005
2005-06-01,1.668,1.687,1.737,1.656,423379.31,600005
2005-06-02,1.681,1.637,1.687,1.613,377942.12,600005
2005-06-03,1.631,1.619,1.668,1.6,216745.23,600005
2005-06-06,1.613,1.675,1.681,1.606,241506.57,600005
2005-06-07,1.687,1.656,1.731,1.656,335764.97,600005
2005-06-08,1.755,1.861,1.861,1.681,1329591.4,600005
2005-06-09,1.917,1.942,2.023,1.88,2170345.17,600005
2005-06-10,1.936,1.898,1.936,1.842,1012453.49,600005
2005-06-13,1.911,1.867,1.917,1.83,550481.08,600005
2005-06-14,1.873,1.861,1.942,1.855,619183.69,600005
2005-06-15,1.861,1.873,1.892,1.824,441843.68,600005
2005-06-16,1.873,1.892,1.892,1.842,334428.18,600005
2005-06-17,1.929,1.905,1.973,1.88,557870.53,600005
2005-06-20,1.929,1.985,1.998,1.905,1241613.58,600005
2005-06-21,1.973,1.873,1.973,1.861,840894.9,600005
2005-06-22,1.861,1.842,1.88,1.793,641445.56,600005
2005-06-23,1.811,1.811,1.849,1.799,247429.69,600005
2005-06-24,1.811,1.855,1.867,1.799,283913.66,600005
2005-06-27,1.873,1.886,1.929,1.873,624566.26,600005
2005-06-28,1.824,1.892,1.917,1.793,589053.59,600005
2005-06-29,1.898,1.805,1.905,1.799,670886.61,600005
2005-06-30,1.793,1.7,1.799,1.687,746268.66,600005
2005-07-01,1.687,1.687,1.718,1.662,261468.03,600005
2005-07-04,1.681,1.706,1.712,1.662,213275.02,600005
2005-07-05,1.706,1.644,1.706,1.619,282337.88,600005
2005-07-06,1.644,1.637,1.668,1.625,300651.38,600005
2005-07-07,1.637,1.644,1.662,1.631,130028.79,600005
2005-07-08,1.637,1.644,1.65,1.625,143762.82,600005
2005-07-11,1.662,1.65,1.706,1.631,190671.0,600005
2005-07-12,1.65,1.687,1.7,1.625,445499.31,600005
2005-07-13,1.681,1.687,1.706,1.662,371620.4,600005
2005-07-14,1.681,1.7,1.724,1.668,276657.29,600005
2005-07-15,1.712,1.656,1.718,1.65,228280.1,600005
2005-07-18,1.656,1.65,1.662,1.631,200450.58,600005
2005-07-19,1.637,1.644,1.668,1.631,183409.4,600005
2005-07-20,1.644,1.662,1.675,1.619,347868.8,600005
2005-07-21,1.662,1.7,1.712,1.656,419680.83,600005
2005-07-22,1.706,1.706,1.737,1.675,561257.6,600005
2005-07-25,1.712,1.687,1.718,1.681,254944.92,600005
2005-07-26,1.687,1.749,1.768,1.687,773267.84,600005
2005-07-27,1.749,1.836,1.842,1.737,824033.28,600005
2005-07-28,1.836,1.836,1.861,1.811,577721.38,600005
2005-07-29,1.824,1.824,1.842,1.811,348693.36,600005
2005-08-01,1.818,1.836,1.861,1.805,241792.94,600005
2005-08-02,1.83,1.873,1.873,1.799,383020.93,600005
2005-08-03,1.873,1.88,1.917,1.855,526627.37,600005
2005-08-04,1.873,1.849,1.873,1.842,296787.42,600005
2005-08-05,1.842,1.905,1.911,1.842,532132.73,600005
2005-08-08,1.917,1.917,1.96,1.905,477534.8,600005
2005-08-09,1.917,1.923,1.929,1.873,367859.27,600005
2005-08-10,1.948,1.942,1.967,1.905,426869.34,600005
2005-08-11,1.942,2.016,2.016,1.936,711707.74,600005
2005-08-12,2.016,1.967,2.035,1.948,557094.42,600005
2005-08-15,1.96,2.016,2.023,1.936,547525.81,600005
