date,open,close,high,low,volume,code
2005-05-09,-3.457,-3.49,-3.455,-3.492,44088.0,600000
2005-05-10,-3.49,-3.465,-3.455,-3.492,49067.41,600000
2005-05-11,-3.464,-3.462,-3.443,-3.471,55283.35,600000
2005-05-12,-3.443,-3.483,-3.443,-3.483,54174.47,600000
2005-05-13,-3.486,-3.476,-3.458,-3.495,38519.6,600000
2005-05-16,-3.478,-3.472,-3.464,-3.493,21429.17,600000
2005-05-17,-3.472,-3.462,-3.444,-3.481,29984.01,600000
2005-05-18,-3.451,-3.469,-3.448,-3.479,38100.65,600000
2005-05-19,-3.467,-3.444,-3.441,-3.472,35161.37,600000
2005-05-20,-3.443,-3.458,-3.441,-3.46,22622.77,600000
2005-05-23,-3.458,-3.485,-3.458,-3.495,69166.01,600000
2005-05-24,-3.492,-3.478,-3.471,-3.493,31534.0,600000
2005-05-25,-3.472,-3.483,-3.458,-3.486,31385.64,600000
2005-05-26,-3.481,-3.497,-3.472,-3.504,32253.07,600000
2005-05-27,-3.497,-3.504,-3.483,-3.511,26402.97,600000
2005-05-30,-3.504,-3.488,-3.486,-3.518,19255.65,600000
2005-05-31,-3.488,-3.504,-3.481,-3.507,28306.09,600000
2005-06-01,-3.504,-3.523,-3.497,-3.53,35054.47,600000
2005-06-02,-3.525,-3.542,-3.512,-3.554,66711.63,600000
2005-06-03,-3.546,-3.521,-3.505,-3.546,53525.6,600000
2005-06-06,-3.523,-3.507,-3.5,-3.539,28445.98,600000
2005-06-07,-3.504,-3.511,-3.486,-3.519,34118.87,600000
2005-06-08,-3.394,-3.42,-3.394,-3.505,156884.82,600000
2005-06-09,-3.42,-3.43,-3.408,-3.448,131936.41,600000
2005-06-10,-3.43,-3.422,-3.387,-3.441,150261.48,600000
2005-06-13,-3.422,-3.432,-3.406,-3.45,59609.92,600000
2005-06-14,-3.427,-3.439,-3.42,-3.443,54629.77,600000
2005-06-15,-3.443,-3.453,-3.437,-3.46,41288.72,600000
2005-06-16,-3.45,-3.395,-3.392,-3.45,221679.68,600000
2005-06-17,-3.392,-3.371,-3.36,-3.408,187577.43,600000
2005-06-20,-3.36,-3.353,-3.329,-3.383,209778.0,600000
2005-06-21,-3.348,-3.346,-3.327,-3.364,144592.12,600000
2005-06-22,-3.352,-3.325,-3.322,-3.357,132548.28,600000
2005-06-23,-3.32,-3.346,-3.318,-3.355,88286.22,600000
2005-06-24,-3.355,-3.343,-3.331,-3.369,132683.22,600000
2005-06-27,-3.32,-3.336,-3.303,-3.346,117669.9,600000
2005-06-29,-3.346,-3.359,-3.343,-3.373,60142.57,600000
2005-06-30,-3.362,-3.338,-3.311,-3.38,72035.1,600000
2005-07-01,-3.35,-3.388,-3.35,-3.397,47086.99,600000
2005-07-04,-3.399,-3.376,-3.374,-3.406,30880.82,600000
2005-07-05,-3.376,-3.381,-3.364,-3.399,25782.88,600000
2005-07-06,-3.376,-3.38,-3.362,-3.385,22130.15,600000
2005-07-07,-3.385,-3.39,-3.364,-3.397,21416.29,600000
2005-07-08,-3.39,-3.413,-3.388,-3.416,27017.0,600000
2005-07-11,-3.397,-3.395,-3.371,-3.399,35030.62,600000
2005-07-12,-3.399,-3.299,-3.271,-3.408,195931.21,600000
2005-07-13,-3.311,-3.324,-3.303,-3.331,59279.49,600000
2005-07-14,-3.329,-3.317,-3.301,-3.332,43116.03,600000
2005-07-15,-3.315,-3.313,-3.296,-3.318,70777.35,600000
2005-07-18,-3.32,-3.296,-3.29,-3.325,63640.91,600000
2005-07-19,-3.296,-3.29,-3.254,-3.306,113747.54,600000
2005-07-20,-3.294,-3.294,-3.262,-3.303,63990.88,600000
2005-07-21,-3.29,-3.29,-3.28,-3.318,63858.12,600000
2005-07-22,-3.273,-3.245,-3.22,-3.283,228374.53,600000
2005-07-25,-3.241,-3.229,-3.217,-3.255,118444.69,600000
2005-07-26,-3.238,-3.222,-3.189,-3.24,153659.74,600000
2005-07-27,-3.224,-3.224,-3.215,-3.247,85428.81,600000
2005-07-28,-3.224,-3.227,-3.206,-3.241,80139.54,600000
2005-07-29,-3.231,-3.217,-3.217,-3.241,73487.61,600000
2005-08-01,-3.219,-3.254,-3.208,-3.261,99844.27,600000
2005-08-02,-3.259,-3.24,-3.238,-3.259,74603.33,600000
2005-08-03,-3.238,-3.238,-3.219,-3.243,89787.81,600000
2005-08-04,-3.241,-3.243,-3.227,-3.252,43280.95,600000
2005-08-05,-3.248,-3.203,-3.196,-3.25,121315.98,600000
2005-08-08,-3.196,-3.194,-3.168,-3.198,94712.35,600000
2005-08-09,-3.198,-3.189,-3.182,-3.213,69336.8,600000
2005-08-10,-3.189,-3.163,-3.149,-3.198,92126.43,600000
2005-08-11,-3.163,-3.143,-3.128,-3.17,128609.21,600000
2005-08-12,-3.142,-3.187,-3.126,-3.191,105416.06,600000
2005-08-15,-3.185,-3.163,-3.163,-3.192,78476.37,600000
2005-08-16,-3.157,-3.191,-3.129,-3.201,143836.9,600000
2005-08-17,-3.198,-3.18,-3.171,-3.215,104592.6,600000
2005-08-18,-3.18,-3.236,-3.177,-3.245,120574.7,600000
2005-08-19,-3.241,-3.21,-3.205,-3.241,74688.2,600000
2005-08-22,-3.21,-3.21,-3.203,-3.233,45005.47,600000
2005-08-23,-3.205,-3.224,-3.203,-3.236,47106.32,600000
2005-08-24,-3.215,-3.194,-3.185,-3.222,140069.46,600000
2005-08-25,-3.198,-3.185,-3.177,-3.203,48080.48,600000
2005-08-26,-3.175,-3.187,-3.156,-3.194,42414.34,600000
2005-08-29,-3.187,-3.198,-3.171,-3.198,50493.93,600000
2005-08-30,-3.198,-3.196,-3.187,-3.206,24791.02,600000
2005-08-31,-3.203,-3.192,-3.185,-3.206,44416.81,600000
2005-09-01,-3.192,-3.168,-3.157,-3.208,94492.71,600000
2005-09-02,-3.171,-3.166,-3.163,-3.18,53723.11,600000
2005-09-05,-3.166,-3.178,-3.161,-3.182,37592.95,600000
2005-09-06,-3.182,-3.206,-3.18,-3.21,58419.98,600000
2005-09-07,-3.208,-3.199,-3.194,-3.222,55143.75,600000
2005-09-08,-3.196,-3.182,-3.18,-3.206,64385.06,600000
2005-09-09,-3.185,-3.192,-3.175,-3.196,44447.6,600000
2005-09-12,-3.189,-3.17,-3.159,-3.189,66828.12,600000
2005-09-13,-3.17,-3.164,-3.164,-3.185,34853.57,600000
2005-09-14,-3.164,-3.128,-3.108,-3.17,111143.45,600000
2005-09-15,-3.126,-3.126,-3.122,-3.136,34845.33,600000
2005-09-16,-3.126,-3.119,-3.098,-3.129,62435.93,600000
2005-09-19,-3.119,-3.128,-3.107,-3.133,39075.6,600000
2005-09-20,-3.126,-3.152,-3.122,-3.159,42594.78,600000
2005-09-21,-3.161,-3.191,-3.143,-3.194,49920.21,600000
2005-09-22,-3.194,-3.229,-3.187,-3.255,71245.79,600000
2005-09-23,-3.241,-3.247,-3.22,-3.252,34843.59,600000
2005-09-26,-3.241,-3.24,-3.22,-3.245,22869.28,600000
2005-09-27,-3.24,-3.266,-3.222,-3.283,40161.03,600000
2005-09-29,-3.257,-3.245,-3.229,-3.257,26283.98,600000
2005-09-30,-3.245,-3.224,-3.22,-3.245,27977.08,600000
2005-10-10,-3.231,-3.208,-3.205,-3.24,27506.73,600000
2005-10-11,-3.212,-3.194,-3.194,-3.222,31482.73,600000
2005-10-12,-3.194,-3.189,-3.184,-3.21,52832.7,600000
2005-10-13,-3.191,-3.189,-3.171,-3.191,58604.61,600000
2005-10-14,-3.189,-3.236,-3.182,-3.236,35704.25,600000
2005-10-17,-3.236,-3.224,-3.219,-3.245,24926.0,600000
2005-10-18,-3.224,-3.25,-3.215,-3.255,34298.63,600000
2005-10-19,-3.245,-3.206,-3.194,-3.245,65621.83,600000
2005-10-20,-3.206,-3.14,-3.133,-3.215,121918.07,600000
2005-10-21,-3.14,-3.15,-3.112,-3.154,103567.35,600000
2005-10-24,-3.154,-3.149,-3.147,-3.175,32997.87,600000
2005-10-25,-3.15,-3.17,-3.145,-3.177,30745.94,600000
2005-10-26,-3.171,-3.219,-3.17,-3.226,70138.7,600000
2005-10-27,-3.222,-3.224,-3.198,-3.236,46304.03,600000
2005-10-28,-3.224,-3.224,-3.208,-3.259,59497.74,600000
2005-10-31,-3.222,-3.185,-3.161,-3.224,68992.18,600000
2005-11-01,-3.192,-3.171,-3.168,-3.192,47012.64,600000
2005-11-02,-3.157,-3.182,-3.157,-3.189,36217.1,600000
2005-11-03,-3.184,-3.241,-3.175,-3.264,122620.71,600000
2005-11-04,-3.241,-3.224,-3.219,-3.25,51429.18,600000
2005-11-07,-3.226,-3.248,-3.226,-3.257,45440.95,600000
2005-11-08,-3.25,-3.226,-3.224,-3.262,40530.03,600000
2005-11-09,-3.226,-3.212,-3.203,-3.234,53121.1,600000
2005-11-10,-3.215,-3.226,-3.203,-3.231,46971.45,600000
2005-11-11,-3.241,-3.219,-3.212,-3.241,22766.91,600000
2005-11-14,-3.22,-3.254,-3.219,-3.255,32615.69,600000
2005-11-15,-3.254,-3.25,-3.229,-3.255,28615.91,600000
2005-11-16,-3.241,-3.231,-3.224,-3.25,21182.36,600000
2005-11-17,-3.231,-3.231,-3.222,-3.247,7499.24,600000
2005-11-18,-3.231,-3.163,-3.161,-3.231,82509.91,600000
2005-11-21,-3.171,-3.17,-3.163,-3.185,32598.21,600000
2005-11-22,-3.173,-3.196,-3.173,-3.196,18846.99,600000
2005-11-23,-3.198,-3.173,-3.161,-3.205,21154.13,600000
2005-11-24,-3.168,-3.15,-3.136,-3.18,61036.47,600000
2005-11-25,-3.152,-3.149,-3.143,-3.163,26183.43,600000
2005-11-28,-3.149,-3.161,-3.143,-3.171,33347.59,600000
2005-11-29,-3.168,-3.163,-3.159,-3.18,36789.93,600000
