date,open,close,high,low,volume,code,5日均线,10日均线,涨幅,跌幅,RSI,MACD,MACD_Signal,MACD_Histogram
2005-05-09,-3.457,-3.49,-3.455,-3.492,44088.0,600000,,,,,,,,
2005-05-10,-3.49,-3.465,-3.455,-3.492,49067.41,600000,,,,,,,,
2005-05-11,-3.464,-3.462,-3.443,-3.471,55283.35,600000,,,,,,,,
2005-05-12,-3.443,-3.483,-3.443,-3.483,54174.47,600000,,,,,,,,
2005-05-13,-3.486,-3.476,-3.458,-3.495,38519.6,600000,-3.4752,,,,,,,
2005-05-16,-3.478,-3.472,-3.464,-3.493,21429.17,600000,-3.4716,,-0.005157593123209237,0.005157593123209237,,,,
2005-05-17,-3.472,-3.462,-3.444,-3.481,29984.01,600000,-3.471,,-0.0008658008658007705,0.0008658008658007705,,,,
2005-05-18,-3.451,-3.469,-3.448,-3.479,38100.65,600000,-3.4724000000000004,,0.0020219526285383226,-0.0020219526285383226,,,,
2005-05-19,-3.467,-3.444,-3.441,-3.472,35161.37,600000,-3.4646,,-0.011197243755383331,0.011197243755383331,,,,
2005-05-20,-3.443,-3.458,-3.441,-3.46,22622.77,600000,-3.461,-3.4681000000000006,-0.0051783659378595494,0.0051783659378595494,,,,
2005-05-23,-3.458,-3.485,-3.458,-3.495,69166.01,600000,-3.4636000000000005,-3.4676,0.0037442396313363767,-0.0037442396313363767,,,,
2005-05-24,-3.492,-3.478,-3.471,-3.493,31534.0,600000,-3.4668000000000005,-3.4689,0.004621606008087815,-0.004621606008087815,,,,
2005-05-25,-3.472,-3.483,-3.458,-3.486,31385.64,600000,-3.4696000000000007,-3.471,0.0040357451715192375,-0.0040357451715192375,,,,
2005-05-26,-3.481,-3.497,-3.472,-3.504,32253.07,600000,-3.480200000000001,-3.4724000000000004,0.015389082462253175,-0.015389082462253175,,,,
2005-05-27,-3.497,-3.504,-3.483,-3.511,26402.97,600000,-3.4894000000000007,-3.4752,0.01330248698669746,-0.01330248698669746,46.0227272727273,,,
2005-05-30,-3.504,-3.488,-3.486,-3.518,19255.65,600000,-3.4900000000000007,-3.4768,0.0008608321377331747,-0.0008608321377331747,50.83598726114656,,,
2005-05-31,-3.488,-3.504,-3.481,-3.507,28306.09,600000,-3.4952000000000005,-3.4810000000000003,0.007475560667049971,-0.007475560667049971,46.38187304425573,,,
2005-06-01,-3.504,-3.523,-3.497,-3.53,35054.47,600000,-3.5032000000000005,-3.4864000000000006,0.011484352569623898,-0.011484352569623898,41.70847570308753,,,
2005-06-02,-3.525,-3.542,-3.512,-3.554,66711.63,600000,-3.5122,-3.4962000000000004,0.012868172719473814,-0.012868172719473814,37.62571548121646,,,
2005-06-03,-3.546,-3.521,-3.505,-3.546,53525.6,600000,-3.5156,-3.5025000000000004,0.004851598173515955,-0.004851598173515955,44.13481853635916,,,
2005-06-06,-3.523,-3.507,-3.5,-3.539,28445.98,600000,-3.5194,-3.5047000000000006,0.005447247706422055,-0.005447247706422055,48.02861532658236,,,
2005-06-07,-3.504,-3.511,-3.486,-3.519,34118.87,600000,-3.5208000000000004,-3.5080000000000005,0.0019977168949772022,-0.0019977168949772022,47.020214224952525,,,
2005-06-08,-3.394,-3.42,-3.394,-3.505,156884.82,600000,-3.500200000000001,-3.5017000000000005,-0.02923644621061601,0.02923644621061601,65.01594471568818,,,
2005-06-09,-3.42,-3.43,-3.408,-3.448,131936.41,600000,-3.477800000000001,-3.495,-0.0316205533596837,0.0316205533596837,62.50344217856254,,,
2005-06-10,-3.43,-3.422,-3.387,-3.441,150261.48,600000,-3.458000000000001,-3.4868,-0.02811701221243958,0.02811701221243958,63.71161467860582,,,
2005-06-13,-3.422,-3.432,-3.406,-3.45,59609.92,600000,-3.4430000000000014,-3.4812000000000003,-0.02138579982891365,0.02138579982891365,61.06304911692323,,,
2005-06-14,-3.427,-3.439,-3.42,-3.443,54629.77,600000,-3.4286000000000016,-3.4747,-0.02050697806892625,0.02050697806892625,59.20758654668187,,,
2005-06-15,-3.443,-3.453,-3.437,-3.46,41288.72,600000,-3.435200000000002,-3.4677,0.00964912280701752,-0.00964912280701752,55.57066459564414,,,
2005-06-16,-3.45,-3.395,-3.392,-3.45,221679.68,600000,-3.4282000000000017,-3.4530000000000003,-0.010204081632653102,0.010204081632653102,65.12767687597496,,,
2005-06-17,-3.392,-3.371,-3.36,-3.408,187577.43,600000,-3.4180000000000015,-3.438,-0.014903565166569302,0.014903565166569302,68.17801206874667,,,
2005-06-20,-3.36,-3.353,-3.329,-3.383,209778.0,600000,-3.4022000000000014,-3.4226,-0.023018648018647943,0.023018648018647943,70.27788196037343,,,
2005-06-21,-3.348,-3.346,-3.327,-3.364,144592.12,600000,-3.3836000000000013,-3.4061,-0.02704274498400697,0.02704274498400697,71.07719286838761,,,
2005-06-22,-3.352,-3.325,-3.322,-3.357,132548.28,600000,-3.3580000000000014,-3.3966000000000003,-0.03706921517520987,0.03706921517520987,73.38925233491241,,,
2005-06-23,-3.32,-3.346,-3.318,-3.355,88286.22,600000,-3.348200000000001,-3.3882000000000003,-0.01443298969072163,0.01443298969072163,67.57209727401197,0.0333108655177754,0.013558830803750274,0.019752034714025125
2005-06-24,-3.355,-3.343,-3.331,-3.369,132683.22,600000,-3.342600000000002,-3.3803000000000005,-0.008306140611094638,0.008306140611094638,67.96277594264562,0.0350570848294014,0.017858481608880497,0.0171986032205209
2005-06-27,-3.32,-3.336,-3.303,-3.346,117669.9,600000,-3.3392000000000017,-3.3707000000000007,-0.005070086489710811,0.005070086489710811,68.90415528727183,0.03658409899287607,0.02160360508567961,0.014980493907196458
2005-06-29,-3.346,-3.359,-3.343,-3.373,60142.57,600000,-3.341800000000002,-3.362700000000001,0.0038852361028092947,-0.0038852361028092947,62.41466062985053,0.0355288069671893,0.024388645461981547,0.01114016150520775
2005-06-30,-3.362,-3.338,-3.311,-3.38,72035.1,600000,-3.3444000000000025,-3.351200000000001,0.003909774436090196,-0.003909774436090196,65.60029767344733,0.035972338206697874,0.026705384010924812,0.009266954195773062
2005-07-01,-3.35,-3.388,-3.35,-3.397,47086.99,600000,-3.352800000000002,-3.350500000000001,0.01255230125523007,-0.01255230125523007,53.88881581350014,0.031921289027319055,0.027748565014203662,0.004172724013115393
2005-07-04,-3.399,-3.376,-3.374,-3.406,30880.82,600000,-3.359400000000002,-3.3510000000000013,0.00987137301824706,-0.00987137301824706,55.92265849715804,0.02934087968134058,0.028067027947631044,0.001273851733709537
2005-07-05,-3.376,-3.381,-3.364,-3.399,25782.88,600000,-3.368400000000002,-3.353800000000001,0.013489208633093504,-0.013489208633093504,54.83733093513469,0.026585962049233913,0.027770814767951617,-0.0011848527187177035
2005-07-06,-3.376,-3.38,-3.362,-3.385,22130.15,600000,-3.372600000000002,-3.357200000000001,0.0062518606728192636,-0.0062518606728192636,55.02532999933387,0.024204348952292953,0.027057521604819883,-0.0028531726525269294
2005-07-07,-3.385,-3.39,-3.364,-3.397,21416.29,600000,-3.383000000000002,-3.3637000000000006,0.01557819053325346,-0.01557819053325346,52.66442705237546,0.021264858931016484,0.025898989070059202,-0.0046341301390427185
2005-07-08,-3.39,-3.413,-3.388,-3.416,27017.0,600000,-3.3880000000000017,-3.370400000000001,0.007378984651711899,-0.007378984651711899,47.60521872853036,0.016884747274107603,0.024096140710868883,-0.00721139343676128
2005-07-11,-3.397,-3.395,-3.371,-3.399,35030.62,600000,-3.391800000000002,-3.375600000000001,0.005627962085308095,-0.005627962085308095,51.52959967214545,0.014696514525542437,0.022216215473803595,-0.007519700948261158
2005-07-12,-3.399,-3.299,-3.271,-3.408,195931.21,600000,-3.3754000000000017,-3.371900000000001,-0.024253179532682596,0.024253179532682596,66.10926430589186,0.020472725169537576,0.021867517412950392,-0.0013947922434128165
2005-07-13,-3.311,-3.324,-3.303,-3.331,59279.49,600000,-3.3642000000000025,-3.3684000000000003,-0.01656804733727812,0.01656804733727812,60.96629218844587,0.0227706369257219,0.022048141315504692,0.0007224956102172067
2005-07-14,-3.329,-3.317,-3.301,-3.332,43116.03,600000,-3.3496000000000024,-3.3663000000000003,-0.021533923303834794,0.021533923303834794,61.860965042196916,0.024869905259761182,0.02261249410435599,0.002257411155405193
2005-07-15,-3.315,-3.313,-3.296,-3.318,70777.35,600000,-3.329600000000002,-3.358800000000001,-0.029299736302373175,0.029299736302373175,62.391431455523914,0.026550301757828798,0.02340005563505055,0.0031502461227782483
2005-07-18,-3.32,-3.296,-3.29,-3.325,63640.91,600000,-3.309800000000002,-3.350800000000001,-0.029160530191458086,0.029160530191458086,64.64227894962002,0.028920409535427627,0.024504126415125966,0.004416283120301661
2005-07-19,-3.296,-3.29,-3.254,-3.306,113747.54,600000,-3.308000000000002,-3.341700000000001,-0.0027280994240678684,0.0027280994240678684,65.42871214608185,0.030926386745393497,0.02578857848117947,0.005137808264214026
2005-07-20,-3.294,-3.294,-3.262,-3.303,63990.88,600000,-3.302000000000002,-3.333100000000001,-0.009025270758122685,0.009025270758122685,64.4003193692444,0.03182649553672956,0.02699616189228949,0.00483033364444007
2005-07-21,-3.29,-3.29,-3.28,-3.318,63858.12,600000,-3.2966000000000015,-3.323100000000001,-0.008139885438649422,0.008139885438649422,64.99287854866517,0.03248810219049192,0.028094549951929976,0.004393552238561943
2005-07-22,-3.273,-3.245,-3.22,-3.283,228374.53,600000,-3.2830000000000013,-3.306300000000001,-0.02052520374283129,0.02052520374283129,70.8677330487005,0.03622596378884735,0.02972083271931345,0.006505131069533897
2005-07-25,-3.241,-3.229,-3.217,-3.255,118444.69,600000,-3.2696000000000014,-3.289700000000001,-0.02032766990291254,0.02032766990291254,72.62670891846813,0.04001800961332691,0.03178026809811614,0.00823774151521077
