date,open,close,high,low,volume,code
2005-05-09,1.898,1.828,1.898,1.828,722.9,200045
2005-05-10,1.828,1.878,1.938,1.788,2121.0,200045
2005-05-11,1.878,1.878,1.928,1.828,1332.9,200045
2005-05-12,1.878,1.848,1.948,1.828,622.1,200045
2005-05-13,1.848,1.828,1.918,1.788,911.0,200045
2005-05-16,1.828,1.848,1.868,1.818,245.0,200045
2005-05-17,1.878,1.908,1.938,1.878,851.8,200045
2005-05-18,1.918,1.938,1.948,1.878,812.5,200045
2005-05-19,1.938,1.928,1.938,1.848,481.0,200045
2005-05-20,1.928,1.928,1.948,1.928,338.5,200045
2005-05-23,1.828,1.708,1.828,1.708,2898.0,200045
2005-05-24,1.678,1.678,1.708,1.598,1794.0,200045
2005-05-25,1.648,1.718,1.718,1.648,811.5,200045
2005-05-26,1.718,1.678,1.718,1.658,629.0,200045
2005-05-27,1.628,1.648,1.688,1.628,395.5,200045
2005-05-30,1.638,1.708,1.718,1.638,905.81,200045
2005-05-31,1.728,1.748,1.868,1.728,1841.5,200045
2005-06-01,1.748,1.738,1.748,1.678,607.02,200045
2005-06-02,1.718,1.678,1.718,1.668,1002.0,200045
2005-06-03,1.678,1.668,1.688,1.658,748.0,200045
2005-06-06,1.658,1.708,1.738,1.628,1525.8,200045
2005-06-07,1.708,1.708,1.788,1.698,1742.4,200045
2005-06-08,1.708,1.858,1.858,1.698,3556.91,200045
2005-06-09,1.808,1.878,1.948,1.808,4618.71,200045
2005-06-10,1.858,1.798,1.868,1.778,1088.5,200045
2005-06-13,1.838,1.898,1.938,1.838,6076.5,200045
2005-06-14,1.868,1.778,1.888,1.778,2630.5,200045
2005-06-15,1.838,1.768,1.838,1.768,1142.5,200045
2005-06-16,1.758,1.828,1.828,1.758,881.93,200045
2005-06-17,1.798,1.848,1.868,1.758,3617.8,200045
2005-06-20,1.848,1.858,1.908,1.788,1919.44,200045
2005-06-21,1.858,1.898,2.068,1.858,5507.66,200045
2005-06-22,1.878,1.858,1.878,1.848,685.0,200045
2005-06-23,1.808,1.858,1.928,1.808,678.0,200045
2005-06-24,1.908,1.868,1.908,1.828,593.5,200045
2005-06-27,1.878,1.918,1.938,1.878,2499.9,200045
2005-06-28,1.878,1.858,1.878,1.838,1288.5,200045
2005-06-30,1.788,1.788,1.848,1.778,752.2,200045
2005-07-01,1.738,1.728,1.778,1.728,1116.0,200045
2005-07-04,1.738,1.688,1.738,1.658,1119.1,200045
2005-07-05,1.688,1.698,1.718,1.688,213.0,200045
2005-07-06,1.748,1.728,1.748,1.698,249.5,200045
2005-07-07,1.808,1.738,1.808,1.698,490.51,200045
2005-07-08,1.668,1.708,1.728,1.668,187.4,200045
2005-07-11,1.818,1.688,1.818,1.648,695.71,200045
2005-07-12,1.718,1.738,1.748,1.668,967.1,200045
2005-07-13,1.748,1.738,1.748,1.678,517.0,200045
2005-07-14,1.708,1.688,1.708,1.648,1710.52,200045
2005-07-15,1.728,1.678,1.728,1.638,1660.54,200045
2005-07-18,1.678,1.488,1.678,1.488,1037.5,200045
2005-07-19,1.528,1.498,1.528,1.468,1037.45,200045
2005-07-20,1.468,1.458,1.508,1.458,903.2,200045
2005-07-21,1.488,1.448,1.488,1.428,832.0,200045
2005-07-22,1.438,1.508,1.548,1.428,3056.5,200045
2005-07-25,1.528,1.448,1.528,1.428,628.2,200045
2005-07-26,1.478,1.468,1.518,1.458,2810.0,200045
2005-07-27,1.478,1.598,1.608,1.478,3768.1,200045
2005-07-28,1.588,1.668,1.718,1.578,5670.55,200045
2005-07-29,1.668,1.618,1.668,1.578,2315.97,200045
2005-08-01,1.638,1.628,1.638,1.588,469.2,200045
2005-08-02,1.608,1.648,1.658,1.608,1878.6,200045
2005-08-03,1.688,1.708,1.728,1.678,5061.72,200045
2005-08-04,1.708,1.708,1.778,1.698,2553.38,200045
2005-08-05,1.748,1.738,1.758,1.698,2650.52,200045
2005-08-08,1.738,1.748,1.808,1.718,2766.35,200045
2005-08-09,1.738,1.798,1.798,1.728,2601.81,200045
2005-08-10,1.768,1.788,1.838,1.758,1820.15,200045
2005-08-11,1.808,1.818,1.868,1.768,4027.82,200045
2005-08-12,1.828,1.898,1.928,1.818,8937.86,200045
2005-08-15,1.918,1.898,1.928,1.838,2131.71,200045
2005-08-16,1.838,1.848,1.898,1.818,3402.0,200045
2005-08-17,1.818,1.968,1.978,1.778,7159.05,200045
2005-08-18,1.928,1.868,2.078,1.848,7452.5,200045
2005-08-19,1.878,1.828,1.918,1.788,3651.31,200045
2005-08-22,1.868,1.848,1.878,1.828,893.63,200045
2005-08-23,1.878,1.848,1.878,1.808,786.45,200045
2005-08-24,1.854,1.934,1.974,1.844,1477.0,200045
2005-08-25,1.904,1.994,2.014,1.904,3576.1,200045
2005-08-26,2.034,1.914,2.034,1.894,2802.39,200045
2005-08-29,1.964,2.034,2.094,1.914,6382.0,200045
2005-08-30,2.014,2.014,2.034,1.934,3388.0,200045
2005-08-31,2.014,2.054,2.064,1.954,3141.6,200045
2005-09-01,1.974,2.034,2.074,1.974,5419.0,200045
2005-09-02,2.034,2.034,2.034,1.974,3001.3,200045
2005-09-05,2.034,2.044,2.054,2.004,1821.0,200045
2005-09-06,2.084,2.014,2.154,2.004,4824.5,200045
2005-09-07,1.974,2.024,2.044,1.974,1846.0,200045
2005-09-08,2.044,1.994,2.044,1.974,2442.5,200045
2005-09-09,2.004,2.014,2.024,1.994,1028.8,200045
2005-09-12,1.974,2.004,2.014,1.974,745.0,200045
2005-09-13,2.004,2.034,2.034,1.984,1607.0,200045
2005-09-14,2.034,2.084,2.104,2.014,3769.45,200045
2005-09-15,2.084,2.074,2.104,2.014,3227.7,200045
2005-09-16,2.034,2.054,2.094,2.034,1611.8,200045
2005-09-19,2.054,2.114,2.134,2.054,3911.97,200045
2005-09-20,2.124,2.074,2.124,2.054,2582.0,200045
2005-09-21,2.084,2.004,2.084,1.984,2600.0,200045
2005-09-22,2.004,1.954,2.004,1.924,2026.0,200045
2005-09-23,1.954,1.944,1.994,1.944,748.0,200045
2005-09-26,1.944,1.944,1.984,1.944,633.5,200045
2005-09-27,1.974,1.914,1.974,1.894,514.0,200045
2005-09-28,1.914,1.914,1.954,1.904,734.5,200045
2005-09-29,1.984,1.994,2.024,1.924,2193.6,200045
2005-09-30,1.974,1.984,1.994,1.954,1400.4,200045
2005-10-10,1.914,1.834,1.984,1.814,2775.78,200045
2005-10-11,1.834,1.894,1.904,1.814,830.0,200045
2005-10-12,1.894,1.874,1.904,1.874,213.0,200045
2005-10-13,1.914,1.904,1.914,1.874,1075.0,200045
2005-10-14,1.864,1.814,1.894,1.814,898.0,200045
2005-10-17,1.794,1.704,1.814,1.664,757.6,200045
2005-10-18,1.754,1.754,1.764,1.714,703.96,200045
2005-10-19,1.754,1.744,1.804,1.744,433.0,200045
2005-10-20,1.734,1.744,1.744,1.724,560.0,200045
2005-10-21,1.704,1.764,1.774,1.694,378.5,200045
2005-10-24,1.764,1.764,1.804,1.754,309.0,200045
2005-10-25,1.744,1.704,1.744,1.694,241.0,200045
2005-10-26,1.554,1.594,1.724,1.554,663.51,200045
2005-10-27,1.664,1.624,1.664,1.594,417.5,200045
2005-10-28,1.624,1.634,1.634,1.574,272.0,200045
2005-10-31,1.604,1.624,1.664,1.584,342.0,200045
2005-11-01,1.594,1.544,1.594,1.544,484.0,200045
2005-11-02,1.634,1.604,1.634,1.564,374.25,200045
2005-11-03,1.644,1.624,1.644,1.584,409.0,200045
2005-11-04,1.634,1.624,1.654,1.614,716.9,200045
2005-11-07,1.654,1.694,1.724,1.594,1295.25,200045
2005-11-08,1.704,1.734,1.784,1.704,1320.48,200045
2005-11-09,1.734,1.764,1.784,1.734,867.56,200045
2005-11-10,1.744,1.704,1.744,1.704,350.0,200045
2005-11-11,1.764,1.734,1.764,1.714,633.99,200045
2005-11-14,1.734,1.704,1.734,1.634,393.0,200045
2005-11-15,1.704,1.674,1.704,1.664,406.4,200045
2005-11-16,1.634,1.664,1.684,1.634,589.0,200045
2005-11-17,1.674,1.674,1.704,1.634,258.0,200045
2005-11-18,1.674,1.764,1.764,1.674,2249.14,200045
2005-11-21,1.814,1.804,1.844,1.784,4084.0,200045
2005-11-22,1.774,1.764,1.884,1.754,1320.0,200045
2005-11-23,1.834,1.764,1.834,1.754,872.0,200045
2005-11-24,1.804,1.804,1.804,1.764,289.85,200045
2005-11-25,1.784,1.744,1.784,1.744,362.0,200045
2005-11-28,1.734,1.784,1.784,1.734,33.0,200045
2005-11-29,1.714,1.734,1.774,1.704,126.0,200045
2005-11-30,1.734,1.704,1.734,1.704,292.0,200045
2005-12-01,1.704,1.764,1.764,1.694,149.65,200045
2005-12-02,1.764,1.744,1.784,1.734,209.0,200045
2005-12-05,1.744,1.734,1.744,1.664,93.0,200045
2005-12-06,1.724,1.714,1.724,1.674,82.0,200045
2005-12-07,1.664,1.664,1.674,1.534,742.0,200045
2005-12-08,1.634,1.634,1.634,1.594,379.0,200045
2005-12-09,1.634,1.664,1.664,1.594,190.0,200045
2005-12-12,1.634,1.624,1.664,1.594,436.3,200045
2005-12-13,1.564,1.614,1.614,1.564,774.01,200045
2005-12-14,1.634,1.634,1.644,1.614,570.01,200045
2005-12-15,1.614,1.644,1.644,1.614,98.0,200045
2005-12-16,1.654,1.654,1.704,1.634,1180.31,200045
2005-12-19,1.654,1.624,1.674,1.604,658.0,200045
2005-12-20,1.624,1.654,1.664,1.624,120.93,200045
2005-12-21,1.654,1.644,1.654,1.614,379.0,200045
2005-12-22,1.634,1.634,1.634,1.594,301.5,200045
2005-12-23,1.624,1.624,1.624,1.594,332.01,200045
2005-12-26,1.554,1.624,1.664,1.554,544.7,200045
2005-12-27,1.574,1.634,1.634,1.574,124.5,200045
2005-12-28,1.634,1.714,1.714,1.634,2157.1,200045
2005-12-29,1.674,1.674,1.694,1.664,587.1,200045
2005-12-30,1.654,1.674,1.704,1.654,378.65,200045
2006-01-04,1.674,1.664,1.684,1.644,412.03,200045
2006-01-05,1.654,1.734,1.764,1.594,4204.05,200045
2006-01-06,1.734,1.774,1.794,1.694,2935.05,200045
2006-01-09,1.764,1.834,1.864,1.764,3580.32,200045
2006-01-10,1.834,1.934,1.954,1.824,6878.1,200045
2006-01-11,1.914,1.884,1.974,1.854,3124.13,200045
2006-01-12,1.854,1.894,1.934,1.854,2344.22,200045
2006-01-13,1.894,1.894,1.934,1.864,2151.0,200045
2006-01-16,1.924,1.824,1.924,1.824,1637.3,200045
2006-01-17,1.804,1.874,1.874,1.794,2533.2,200045
2006-01-18,1.904,2.024,2.034,1.904,9984.75,200045
2006-01-19,2.114,2.254,2.254,2.084,22516.57,200045
2006-01-20,2.414,2.354,2.454,2.254,20628.0,200045
2006-01-23,2.334,2.354,2.434,2.184,5928.0,200045
2006-01-24,2.254,2.354,2.414,2.254,6192.0,200045
2006-01-25,2.334,2.514,2.524,2.334,7117.19,200045
2006-02-06,2.534,2.534,2.534,2.374,5913.5,200045
2006-02-07,2.534,2.484,2.684,2.454,3921.5,200045
2006-02-08,2.484,2.464,2.484,2.374,5231.43,200045
2006-02-09,2.454,2.294,2.454,2.274,5021.0,200045
2006-02-10,2.284,2.354,2.424,2.284,4534.2,200045
2006-02-13,2.314,2.294,2.314,2.224,2716.9,200045
2006-02-14,2.284,2.354,2.424,2.284,3094.9,200045
2006-02-15,2.334,2.344,2.364,2.314,4310.73,200045
2006-02-16,2.364,2.254,2.364,2.234,3029.65,200045
2006-02-17,2.284,2.274,2.304,2.244,1756.5,200045
2006-02-20,2.234,2.234,2.284,2.184,2771.0,200045
2006-02-21,2.234,2.224,2.234,2.154,1363.56,200045
2006-02-22,2.224,2.214,2.254,2.194,1297.5,200045
2006-02-23,2.234,2.214,2.254,2.194,961.5,200045
2006-02-24,2.194,2.214,2.214,2.134,1569.39,200045
2006-02-27,2.234,2.174,2.274,2.164,1592.0,200045
2006-02-28,2.204,2.174,2.204,2.144,728.95,200045
2006-03-01,2.154,2.204,2.214,2.154,684.5,200045
2006-03-02,2.184,2.134,2.184,2.134,1382.25,200045
2006-03-03,2.104,2.144,2.144,2.074,1448.96,200045
2006-03-06,2.064,2.104,2.144,2.064,692.0,200045
2006-03-07,2.104,2.024,2.124,1.984,1745.0,200045
2006-03-08,2.034,2.024,2.034,1.954,1217.0,200045
2006-03-09,2.024,2.024,2.024,1.984,236.0,200045
2006-03-10,1.984,2.004,2.034,1.934,269.0,200045
2006-03-13,1.994,2.074,2.104,1.994,971.2,200045
2006-03-14,2.014,2.044,2.094,2.014,327.0,200045
2006-03-15,2.024,2.054,2.094,2.024,970.2,200045
2006-03-16,2.044,2.044,2.084,2.044,614.0,200045
2006-03-17,2.034,2.064,2.064,2.034,594.0,200045
2006-03-20,2.074,2.104,2.104,2.064,1431.0,200045
2006-03-21,2.094,2.104,2.134,2.094,1570.5,200045
2006-03-22,2.114,2.134,2.134,2.094,1285.0,200045
2006-03-23,2.134,2.104,2.134,2.084,1504.3,200045
2006-03-24,2.084,2.104,2.114,2.084,1607.0,200045
2006-03-27,2.074,2.094,2.094,2.074,724.0,200045
2006-03-28,2.114,2.134,2.184,2.114,3809.5,200045
2006-03-29,2.154,2.144,2.204,2.134,3644.5,200045
2006-03-30,2.124,2.074,2.144,2.074,1481.1,200045
2006-03-31,2.074,2.054,2.074,2.024,2322.83,200045
2006-04-03,2.054,2.094,2.114,2.034,2661.07,200045
2006-04-04,2.084,2.064,2.104,2.004,3850.5,200045
2006-04-05,2.044,2.124,2.134,2.044,4679.33,200045
2006-04-06,2.134,2.144,2.194,2.094,4832.9,200045
2006-04-07,2.154,2.294,2.294,2.134,13197.5,200045
2006-04-10,2.294,2.334,2.404,2.294,8226.62,200045
2006-04-11,2.234,2.304,2.334,2.234,4221.25,200045
2006-04-12,2.254,2.224,2.314,2.214,4915.12,200045
2006-04-13,2.214,2.154,2.254,2.134,5253.5,200045
2006-04-14,2.144,2.254,2.274,2.134,4676.61,200045
2006-04-17,2.244,2.364,2.364,2.214,10234.62,200045
2006-04-18,2.384,2.294,2.384,2.234,8448.5,200045
2006-04-19,2.254,2.294,2.314,2.214,4876.36,200045
2006-04-20,2.254,2.284,2.294,2.184,6166.49,200045
2006-04-21,2.284,2.344,2.374,2.204,14991.95,200045
2006-04-24,2.304,2.234,2.304,2.224,6155.3,200045
2006-04-25,2.194,2.184,2.214,2.154,2500.0,200045
2006-04-26,2.194,2.184,2.244,2.144,3628.52,200045
2006-04-27,2.164,2.104,2.164,2.074,5244.17,200045
2006-04-28,2.104,2.104,2.134,2.044,3409.39,200045
2006-05-08,2.064,2.164,2.164,2.054,2601.06,200045
2006-05-09,2.184,2.234,2.304,2.114,12256.84,200045
2006-05-10,2.234,2.274,2.294,2.204,10644.62,200045
2006-05-11,2.264,2.244,2.324,2.234,10356.8,200045
2006-05-12,2.234,2.494,2.494,2.234,27157.31,200045
2006-05-15,2.684,2.774,2.774,2.634,23979.14,200045
2006-05-16,2.714,2.654,2.984,2.584,36320.1,200045
2006-05-17,2.674,2.894,2.944,2.674,34087.82,200045
2006-05-18,2.954,2.814,2.954,2.704,16409.06,200045
2006-05-19,2.714,2.684,2.714,2.604,18230.62,200045
2006-05-22,2.704,2.734,2.884,2.634,11130.38,200045
2006-05-23,2.734,2.574,2.744,2.564,7533.0,200045
2006-05-24,2.554,2.514,2.604,2.364,6214.0,200045
2006-05-25,2.484,2.524,2.534,2.444,3093.81,200045
2006-05-26,2.524,2.584,2.674,2.524,3553.14,200045
2006-05-29,2.574,2.634,2.644,2.514,5480.42,200045
2006-05-31,2.634,2.694,2.804,2.624,9127.81,200045
2006-06-01,2.704,2.734,2.764,2.704,5240.43,200045
2006-06-02,2.734,2.634,2.734,2.594,3748.0,200045
2006-06-05,2.684,2.684,2.694,2.624,2587.1,200045
2006-06-06,2.684,2.614,2.694,2.594,4627.6,200045
2006-06-07,2.614,2.494,2.634,2.434,2528.0,200045
2006-06-08,2.464,2.504,2.534,2.434,3540.5,200045
2006-06-09,2.464,2.354,2.484,2.314,3912.5,200045
2006-06-12,2.354,2.314,2.424,2.314,2030.0,200045
2006-06-13,2.344,2.294,2.364,2.284,1345.0,200045
2006-06-14,2.224,2.244,2.284,2.224,721.55,200045
2006-06-15,2.264,2.314,2.334,2.264,872.14,200045
2006-06-16,2.454,2.404,2.454,2.364,1014.75,200045
2006-06-19,2.314,2.394,2.394,2.314,677.5,200045
2006-06-20,2.414,2.364,2.414,2.304,622.0,200045
2006-06-21,2.364,2.394,2.454,2.264,1994.8,200045
2006-06-22,2.374,2.384,2.404,2.344,983.75,200045
2006-06-23,2.344,2.394,2.404,2.344,402.0,200045
2006-06-26,2.404,2.434,2.444,2.344,809.0,200045
2006-06-27,2.394,2.414,2.414,2.384,853.14,200045
2006-06-28,2.364,2.394,2.414,2.364,368.0,200045
2006-06-29,2.394,2.414,2.484,2.394,2098.0,200045
2006-06-30,2.404,2.494,2.524,2.384,4234.5,200045
2006-07-03,2.434,2.484,2.484,2.434,1969.0,200045
2006-07-04,2.454,2.434,2.474,2.434,1354.0,200045
2006-07-05,2.474,2.414,2.474,2.344,1024.0,200045
2006-07-06,2.374,2.414,2.514,2.374,3176.0,200045
2006-07-07,2.434,2.434,2.464,2.404,1218.3,200045
2006-07-10,2.334,2.444,2.454,2.334,817.5,200045
2006-07-11,2.434,2.414,2.444,2.394,1379.0,200045
2006-07-12,2.464,2.434,2.514,2.414,2827.5,200045
2006-07-13,2.424,2.334,2.474,2.304,2203.5,200045
2006-07-14,2.454,2.394,2.454,2.344,1408.5,200045
2006-07-17,2.434,2.354,2.434,2.344,1073.0,200045
2006-07-18,2.334,2.354,2.384,2.334,669.75,200045
2006-07-19,2.373,2.363,2.383,2.353,1390.4,200045
2006-07-20,2.293,2.363,2.443,2.283,1063.0,200045
2006-07-21,2.423,2.413,2.433,2.383,1116.5,200045
2006-07-24,2.383,2.383,2.413,2.313,1857.39,200045
2006-07-25,2.383,2.413,2.413,2.383,803.24,200045
2006-07-26,2.413,2.433,2.443,2.413,762.0,200045
2006-07-27,2.343,2.393,2.433,2.333,523.9,200045
2006-07-28,2.383,2.313,2.393,2.303,896.0,200045
2006-07-31,2.343,2.303,2.343,2.273,723.0,200045
2006-08-01,2.333,2.293,2.333,2.293,699.0,200045
2006-08-02,2.263,2.273,2.303,2.233,553.0,200045
2006-08-03,2.323,2.303,2.323,2.233,528.1,200045
2006-08-04,2.283,2.283,2.323,2.213,1644.88,200045
2006-08-07,2.283,2.203,2.283,2.203,675.5,200045
2006-08-08,2.133,2.203,2.233,2.133,822.38,200045
2006-08-09,2.233,2.223,2.233,2.203,193.0,200045
2006-08-10,2.223,2.213,2.223,2.193,443.5,200045
2006-08-11,2.183,2.213,2.223,2.183,545.0,200045
2006-08-14,2.223,2.193,2.233,2.193,589.0,200045
2006-08-15,2.213,2.233,2.243,2.213,496.0,200045
2006-08-16,2.253,2.233,2.253,2.183,894.0,200045
2006-08-17,2.193,2.113,2.193,2.113,1815.5,200045
2006-08-18,2.123,2.103,2.123,2.103,555.0,200045
2006-08-21,2.063,2.083,2.083,2.043,449.5,200045
2006-08-22,2.093,2.083,2.093,2.043,1557.5,200045
2006-08-23,2.083,2.073,2.103,2.053,826.5,200045
2006-08-24,2.073,2.113,2.113,2.073,1207.46,200045
2006-08-25,2.103,2.083,2.103,2.073,781.0,200045
2006-08-28,2.083,2.093,2.093,2.043,1575.01,200045
2006-08-29,2.093,2.083,2.113,2.083,579.0,200045
2006-08-30,2.093,2.133,2.143,2.083,754.8,200045
2006-08-31,2.143,2.123,2.143,2.103,679.0,200045
