date,open,close,high,low,volume,code
2005-05-09,0.131,0.126,0.139,0.101,1229.0,600240
2005-05-10,0.119,0.102,0.12,0.095,769.0,600240
2005-05-11,0.115,0.105,0.115,0.101,271.0,600240
2005-05-12,0.084,0.098,0.114,0.084,211.0,600240
2005-05-13,0.086,0.111,0.111,0.086,1358.42,600240
2005-05-16,0.124,0.156,0.163,0.124,5632.99,600240
2005-05-17,0.147,0.138,0.147,0.13,2180.81,600240
2005-05-18,0.143,0.148,0.148,0.136,813.15,600240
2005-05-19,0.142,0.14,0.146,0.139,529.0,600240
2005-05-20,0.134,0.139,0.142,0.132,296.77,600240
2005-05-23,0.127,0.105,0.127,0.101,790.0,600240
2005-05-24,0.105,0.113,0.126,0.098,766.81,600240
2005-05-25,0.102,0.114,0.119,0.102,469.81,600240
2005-05-26,0.11,0.11,0.12,0.11,606.69,600240
2005-05-27,0.11,0.11,0.114,0.11,320.0,600240
2005-05-31,0.136,0.107,0.136,0.107,587.36,600240
2005-06-01,0.119,0.113,0.119,0.106,293.0,600240
2005-06-02,0.111,0.115,0.12,0.101,329.36,600240
2005-06-03,0.111,0.11,0.111,0.102,342.0,600240
2005-06-06,0.084,0.117,0.118,0.059,519.0,600240
2005-06-07,0.119,0.114,0.124,0.114,651.0,600240
2005-06-08,0.118,0.144,0.146,0.118,1949.87,600240
2005-06-09,0.138,0.135,0.148,0.132,1584.89,600240
2005-06-10,0.13,0.13,0.138,0.127,799.0,600240
2005-06-13,0.13,0.135,0.138,0.13,857.35,600240
2005-06-14,0.135,0.115,0.14,0.114,552.0,600240
2005-06-15,0.114,0.101,0.126,0.101,843.0,600240
2005-06-16,0.101,0.101,0.102,0.091,701.19,600240
2005-06-17,0.101,0.114,0.127,0.101,785.01,600240
2005-06-20,0.12,0.13,0.13,0.117,1257.09,600240
2005-06-21,0.13,0.117,0.13,0.113,899.0,600240
2005-06-22,0.113,0.132,0.132,0.113,1068.0,600240
2005-06-23,0.132,0.114,0.153,0.114,913.01,600240
2005-06-24,0.118,0.118,0.118,0.106,449.34,600240
2005-06-27,0.114,0.122,0.124,0.11,1274.9,600240
2005-06-28,0.118,0.124,0.126,0.118,724.99,600240
2005-06-29,0.122,0.12,0.122,0.111,236.0,600240
2005-06-30,0.114,0.103,0.114,0.101,450.0,600240
2005-07-01,0.101,0.093,0.114,0.093,588.58,600240
2005-07-04,0.142,0.128,0.142,0.12,8205.9,600240
2005-07-05,0.101,0.105,0.115,0.088,3167.77,600240
2005-07-06,0.09,0.105,0.107,0.09,880.89,600240
2005-07-07,0.101,0.103,0.109,0.095,638.09,600240
2005-07-08,0.101,0.094,0.102,0.088,549.0,600240
2005-07-11,0.094,0.093,0.107,0.093,648.0,600240
2005-07-12,0.093,0.101,0.106,0.085,964.0,600240
2005-07-13,0.094,0.094,0.103,0.094,537.0,600240
2005-07-14,0.093,0.089,0.093,0.082,601.4,600240
2005-07-15,0.088,0.088,0.094,0.061,442.99,600240
2005-07-18,0.088,0.081,0.088,0.074,342.0,600240
2005-07-19,0.084,0.081,0.088,0.08,264.0,600240
2005-07-20,0.081,0.088,0.088,0.08,322.05,600240
2005-07-21,0.088,0.089,0.099,0.081,184.0,600240
2005-07-22,0.094,0.103,0.103,0.082,1534.32,600240
2005-07-26,0.103,0.109,0.11,0.094,1085.11,600240
2005-07-27,0.11,0.105,0.114,0.095,1043.64,600240
2005-07-28,0.103,0.109,0.117,0.103,934.51,600240
2005-07-29,0.115,0.103,0.115,0.098,583.23,600240
2005-08-01,0.099,0.103,0.105,0.097,579.19,600240
2005-08-02,0.098,0.107,0.109,0.097,610.0,600240
2005-08-03,0.107,0.114,0.123,0.107,1995.0,600240
2005-08-04,0.11,0.136,0.138,0.098,3987.46,600240
2005-08-05,0.134,0.139,0.151,0.113,3516.75,600240
2005-08-08,0.139,0.14,0.152,0.132,1617.92,600240
2005-08-09,0.138,0.14,0.149,0.134,979.0,600240
