date,open,close,high,low,volume,code
2005-05-09,2.365,2.323,2.396,2.311,15192.78,600001
2005-05-10,2.323,2.365,2.371,2.305,15852.37,600001
2005-05-11,2.371,2.353,2.389,2.347,13168.45,600001
2005-05-12,2.353,2.317,2.353,2.311,19314.41,600001
2005-05-13,2.317,2.311,2.335,2.292,13305.14,600001
2005-05-16,2.311,2.286,2.311,2.28,13455.05,600001
2005-05-17,2.292,2.444,2.517,2.286,152696.32,600001
2005-05-18,2.377,2.438,2.438,2.377,61900.42,600001
2005-05-19,2.438,2.432,2.468,2.389,28780.87,600001
2005-05-20,2.432,2.438,2.48,2.42,34522.76,600001
2005-05-23,2.426,2.389,2.426,2.383,21464.59,600001
2005-05-24,2.383,2.408,2.426,2.347,26837.88,600001
2005-05-25,2.408,2.414,2.45,2.389,16721.07,600001
2005-05-26,2.408,2.371,2.426,2.371,17340.98,600001
2005-05-27,2.359,2.329,2.383,2.317,30981.33,600001
2005-05-30,2.317,2.365,2.377,2.305,10221.34,600001
2005-05-31,2.371,2.383,2.402,2.359,15012.02,600001
2005-06-01,2.383,2.389,2.414,2.359,17243.61,600001
2005-06-02,2.383,2.335,2.383,2.317,25189.41,600001
2005-06-03,2.329,2.317,2.341,2.311,18197.41,600001
2005-06-06,2.311,2.353,2.365,2.305,24185.31,600001
2005-06-07,2.377,2.383,2.438,2.377,57044.49,600001
2005-06-08,2.396,2.589,2.626,2.396,199393.71,600001
2005-06-09,2.589,2.547,2.602,2.499,145599.09,600001
2005-06-10,2.553,2.602,2.62,2.505,135206.05,600001
2005-06-13,2.62,2.596,2.662,2.523,97374.95,600001
2005-06-14,2.608,2.577,2.656,2.565,69512.51,600001
2005-06-15,2.577,2.571,2.614,2.529,57179.71,600001
2005-06-16,2.577,2.638,2.644,2.565,69245.78,600001
2005-06-17,2.947,2.796,2.947,2.789,371334.65,600001
2005-06-20,2.771,2.771,2.783,2.674,201345.63,600001
2005-06-21,2.783,2.723,2.802,2.705,127350.56,600001
2005-06-23,2.753,2.68,2.765,2.662,89705.35,600001
2005-06-24,2.674,2.686,2.705,2.65,43477.55,600001
2005-06-27,2.699,2.723,2.741,2.692,95029.76,600001
2005-06-28,2.699,2.65,2.699,2.644,57840.65,600001
2005-06-29,2.65,2.602,2.686,2.596,54190.87,600001
2005-06-30,2.589,2.517,2.602,2.499,77900.82,600001
2005-07-01,2.505,2.474,2.529,2.468,39077.01,600001
2005-07-04,2.456,2.468,2.474,2.408,31146.75,600001
2005-07-05,2.468,2.462,2.486,2.426,25164.1,600001
2005-07-06,2.462,2.456,2.492,2.438,21429.0,600001
2005-07-07,2.456,2.474,2.486,2.444,19863.8,600001
2005-07-08,2.456,2.426,2.456,2.365,33310.64,600001
2005-07-11,2.438,2.432,2.486,2.408,36272.82,600001
2005-07-12,2.438,2.492,2.499,2.359,58574.41,600001
2005-07-13,2.499,2.48,2.517,2.45,28982.35,600001
2005-07-14,2.468,2.492,2.511,2.444,28560.48,600001
2005-07-15,2.492,2.438,2.499,2.432,18864.9,600001
2005-07-18,2.432,2.42,2.444,2.402,19689.45,600001
2005-07-19,2.414,2.432,2.444,2.389,26990.23,600001
2005-07-20,2.42,2.45,2.468,2.408,16376.66,600001
2005-07-21,2.462,2.486,2.492,2.444,39026.99,600001
2005-07-22,2.499,2.505,2.529,2.462,53700.89,600001
2005-07-25,2.505,2.505,2.517,2.486,26502.56,600001
2005-07-26,2.505,2.577,2.583,2.505,80031.52,600001
2005-07-27,2.583,2.632,2.638,2.559,75456.81,600001
2005-07-29,2.65,2.577,2.699,2.559,81494.51,600001
2005-08-01,2.577,2.596,2.626,2.571,44717.69,600001
2005-08-02,2.596,2.626,2.638,2.596,46140.17,600001
2005-08-03,2.626,2.614,2.65,2.608,125072.36,600001
2005-08-04,2.608,2.583,2.614,2.565,43514.67,600001
2005-08-05,2.583,2.632,2.644,2.577,73816.06,600001
