date,open,close,high,low,volume,code
2005-05-09,47.48,46.498,47.807,45.189,9340.18,200512
2005-05-10,46.171,47.152,47.48,45.189,3462.45,200512
2005-05-11,47.152,46.171,47.152,45.516,3341.77,200512
2005-05-12,45.843,45.516,46.171,44.862,3954.3,200512
2005-05-13,45.516,46.171,46.171,43.552,6357.77,200512
2005-05-16,46.171,45.843,46.171,44.862,1255.48,200512
2005-05-17,45.843,46.171,46.498,44.534,3971.12,200512
2005-05-18,46.171,45.516,46.171,44.534,2329.06,200512
2005-05-19,45.516,45.516,45.516,44.207,1937.54,200512
2005-05-20,45.189,45.843,45.843,45.189,1116.0,200512
2005-05-23,45.189,44.207,45.516,43.552,5889.88,200512
2005-05-24,43.88,44.862,45.189,43.552,2548.32,200512
2005-05-25,45.189,45.516,45.843,44.862,2165.5,200512
2005-05-26,45.516,44.534,45.516,44.207,1276.21,200512
2005-05-30,44.207,44.534,44.534,43.88,1828.88,200512
2005-05-31,45.189,44.862,45.189,44.207,1186.22,200512
2005-06-01,44.534,43.88,44.534,43.88,1718.0,200512
2005-06-02,43.552,43.225,45.189,42.898,4327.02,200512
2005-06-03,43.552,43.552,43.552,42.571,1239.25,200512
2005-06-06,42.898,44.207,44.207,42.571,2264.93,200512
2005-06-07,44.207,43.552,44.207,43.225,1426.9,200512
2005-06-08,44.207,47.48,47.807,44.207,9163.23,200512
2005-06-09,47.48,47.48,48.134,46.498,7992.61,200512
2005-06-10,47.48,46.825,47.48,45.843,3924.43,200512
2005-06-13,46.825,45.516,46.825,45.189,5134.7,200512
2005-06-14,45.843,45.516,47.152,45.189,6408.7,200512
2005-06-15,45.189,45.843,46.171,45.189,3264.9,200512
2005-06-16,46.989,45.909,46.989,45.189,2132.28,200512
2005-06-17,45.909,45.549,45.909,44.829,1845.98,200512
2005-06-20,44.829,46.629,46.989,44.829,3327.28,200512
2005-06-21,45.909,45.909,46.629,45.189,1988.18,200512
2005-06-22,45.549,45.909,45.909,45.189,1367.73,200512
2005-06-23,45.909,45.549,45.909,45.189,1766.2,200512
2005-06-24,45.189,46.269,46.269,44.829,3203.04,200512
2005-06-27,46.629,46.629,47.349,46.269,5190.15,200512
2005-06-28,46.989,45.549,46.989,45.549,1265.35,200512
2005-06-29,45.909,44.469,45.909,44.469,2045.5,200512
2005-06-30,45.189,44.829,45.189,44.469,4325.46,200512
2005-07-01,44.109,44.469,44.829,43.749,2450.65,200512
2005-07-04,44.469,41.589,44.469,39.789,7436.75,200512
2005-07-05,41.229,41.229,41.589,40.509,2226.73,200512
2005-07-06,39.069,37.629,39.069,36.909,26148.52,200512
2005-07-07,37.629,39.429,39.429,36.189,15636.94,200512
2005-07-08,39.429,40.509,40.869,37.989,11617.6,200512
2005-07-11,39.789,40.509,41.949,39.789,5326.77,200512
2005-07-12,40.509,41.589,42.309,39.789,5419.26,200512
2005-07-13,42.309,41.589,42.669,40.869,5995.0,200512
2005-07-14,41.589,41.589,42.309,41.229,6150.92,200512
2005-07-15,41.589,41.589,42.309,41.229,9382.29,200512
2005-07-18,41.589,39.429,41.589,38.709,6569.99,200512
2005-07-19,37.989,41.589,42.309,37.989,9403.36,200512
2005-07-20,41.589,41.949,41.949,41.589,4216.86,200512
2005-07-21,41.589,41.589,41.949,39.429,5631.93,200512
2005-07-22,41.589,41.949,42.669,41.589,11232.53,200512
2005-07-25,41.589,41.229,41.949,40.869,4971.14,200512
2005-07-26,41.589,42.309,42.669,41.589,5764.05,200512
2005-07-27,42.669,42.309,43.029,42.309,6187.23,200512
2005-07-28,42.669,42.309,43.029,41.949,6425.95,200512
2005-07-29,42.669,42.309,42.669,41.229,7961.64,200512
2005-08-01,42.669,42.309,43.029,41.589,3441.67,200512
2005-08-02,42.309,42.309,43.029,41.949,5481.99,200512
2005-08-03,42.309,43.389,44.829,42.309,12556.05,200512
2005-08-04,43.029,43.749,44.469,43.029,4692.48,200512
2005-08-05,44.109,43.749,44.469,43.749,8692.68,200512
2005-08-08,43.749,43.029,44.829,43.029,9685.19,200512
2005-08-09,43.749,43.389,44.109,42.309,5711.69,200512
2005-08-10,43.749,42.669,43.749,42.309,10496.0,200512
2005-08-11,42.309,42.309,43.029,41.949,8805.48,200512
2005-08-12,42.669,41.949,43.029,41.589,7140.92,200512
2005-08-15,41.589,42.309,43.389,41.589,3945.67,200512
2005-08-16,42.309,42.309,43.389,41.949,2770.8,200512
2005-08-17,42.309,41.949,42.309,39.429,12736.45,200512
2005-08-18,42.309,43.029,45.189,40.869,18700.86,200512
2005-08-19,43.029,43.029,43.749,42.309,8057.89,200512
2005-08-22,43.749,43.389,44.469,43.029,4733.66,200512
2005-08-23,43.389,42.669,43.749,40.509,6722.16,200512
2005-08-24,43.029,42.669,43.029,42.309,5403.23,200512
2005-08-25,42.669,43.029,44.109,42.669,11507.58,200512
2005-08-26,42.309,42.669,44.469,41.589,17958.06,200512
2005-08-29,42.669,42.669,42.669,42.309,4502.18,200512
2005-08-30,42.669,42.669,43.029,41.949,4166.25,200512
2005-08-31,42.309,42.669,43.389,42.309,9521.43,200512
2005-09-01,43.029,44.469,44.469,42.669,8305.79,200512
2005-09-02,44.469,44.469,44.829,43.749,6778.41,200512
2005-09-05,44.829,48.069,48.429,44.829,20192.97,200512
2005-09-06,48.069,46.269,49.509,46.269,18643.5,200512
2005-09-07,46.269,48.069,49.509,46.269,16980.04,200512
2005-09-08,48.069,48.429,48.789,47.709,6380.39,200512
2005-09-09,48.069,48.069,48.789,47.709,4746.44,200512
2005-09-12,48.429,47.709,48.429,47.349,2309.84,200512
2005-09-13,47.709,48.789,48.789,47.349,4149.73,200512
2005-09-14,48.429,49.509,49.509,48.429,5885.88,200512
2005-09-15,48.789,48.789,49.149,48.429,5582.8,200512
2005-09-16,49.149,50.589,50.589,48.789,8842.69,200512
2005-09-19,50.589,52.029,52.389,49.869,9936.37,200512
2005-09-20,52.389,51.669,52.389,50.589,7520.32,200512
2005-09-21,52.029,50.589,52.029,49.869,6080.86,200512
2005-09-22,50.589,48.069,50.589,46.989,10501.91,200512
2005-09-23,48.429,48.429,48.789,47.709,2661.32,200512
2005-09-26,47.709,48.789,49.149,47.709,1073.65,200512
2005-09-27,48.429,47.349,48.789,46.629,3534.15,200512
2005-09-28,46.629,48.069,48.429,46.629,3818.39,200512
2005-09-29,48.069,49.149,49.149,47.709,1445.32,200512
2005-09-30,49.149,48.429,49.509,47.709,2491.17,200512
2005-10-10,47.349,46.269,47.349,45.549,6254.33,200512
2005-10-11,45.549,46.989,47.349,45.549,1111.4,200512
2005-10-12,46.629,48.069,48.069,46.269,1935.32,200512
2005-10-13,48.069,46.989,48.069,46.629,610.71,200512
2005-10-14,46.629,44.829,46.989,44.469,5866.61,200512
2005-10-17,44.469,45.189,45.549,44.469,2957.78,200512
2005-10-18,45.189,45.189,45.189,44.109,2003.9,200512
2005-10-19,45.189,44.469,45.549,43.389,1724.89,200512
2005-10-20,43.389,43.749,44.829,43.029,757.81,200512
2005-10-21,43.749,43.029,44.469,42.669,3236.76,200512
2005-10-24,44.109,43.029,44.109,42.309,850.62,200512
2005-10-25,43.029,40.869,43.029,39.789,4569.87,200512
2005-10-26,41.229,37.989,41.949,37.269,16169.98,200512
2005-10-27,39.069,38.709,39.069,38.349,1308.77,200512
2005-10-28,39.069,38.349,42.669,37.989,9709.24,200512
2005-10-31,37.989,40.509,41.589,36.189,8947.73,200512
2005-11-01,40.149,39.429,40.149,38.709,2760.74,200512
2005-11-02,40.149,40.509,40.509,39.429,3102.85,200512
2005-11-03,39.789,39.789,39.789,39.429,1405.07,200512
2005-11-04,39.789,43.029,44.109,39.789,11644.33,200512
2005-11-07,42.309,43.389,44.109,42.309,4448.65,200512
2005-11-08,43.389,43.749,44.109,42.669,3055.16,200512
2005-11-09,44.109,43.389,44.109,42.669,4545.14,200512
2005-11-10,43.389,43.029,43.389,42.309,4321.35,200512
2005-11-11,42.669,43.029,43.029,42.309,2006.75,200512
2005-11-14,43.029,42.309,43.749,41.949,1872.51,200512
2005-11-15,43.029,42.669,43.389,42.309,2171.9,200512
2005-11-16,41.949,43.749,43.749,41.589,4809.43,200512
2005-11-17,42.669,42.669,43.389,42.669,856.2,200512
2005-11-18,42.669,43.749,44.109,42.669,3838.56,200512
2005-11-21,43.389,40.509,43.389,40.149,14614.01,200512
2005-11-22,41.229,40.509,41.589,39.429,9303.76,200512
2005-11-23,40.869,41.589,41.949,40.149,3264.19,200512
2005-11-24,41.589,41.589,41.949,41.229,2408.75,200512
2005-11-25,41.229,41.949,41.949,40.869,2600.63,200512
2005-11-28,41.589,41.949,41.949,41.229,723.29,200512
2005-11-29,41.589,41.229,41.949,41.229,1448.0,200512
2005-11-30,40.509,42.309,42.669,40.149,4530.22,200512
2005-12-01,41.589,41.949,43.029,41.589,1687.66,200512
2005-12-02,42.669,42.669,42.669,41.589,1918.56,200512
2005-12-05,41.229,41.589,42.309,41.229,896.76,200512
2005-12-06,41.589,41.589,42.309,41.229,923.25,200512
2005-12-07,41.949,41.589,42.309,41.229,1701.15,200512
2005-12-08,41.589,41.949,42.309,40.509,3232.93,200512
2005-12-09,41.949,41.589,41.949,40.869,1685.35,200512
2005-12-12,41.229,41.589,41.589,40.509,3486.54,200512
2005-12-13,41.229,41.229,41.589,40.869,815.25,200512
2005-12-14,40.869,41.589,42.669,40.869,1981.49,200512
2005-12-15,40.869,41.229,41.589,40.149,624.36,200512
2005-12-16,40.869,41.229,41.589,40.509,678.71,200512
2005-12-19,40.149,41.229,41.589,40.149,470.19,200512
2005-12-20,40.869,41.229,41.589,40.869,1119.73,200512
2005-12-21,40.869,41.229,41.229,40.509,2202.93,200512
