date,open,close,high,low,volume,code,5日均线,10日均线,涨幅,跌幅,RSI,MACD,MACD_Signal,MACD_Histogram
2005-05-09,47.48,46.498,47.807,45.189,9340.18,200512,,,,,,,,
2005-05-10,46.171,47.152,47.48,45.189,3462.45,200512,,,,,,,,
2005-05-11,47.152,46.171,47.152,45.516,3341.77,200512,,,,,,,,
2005-05-12,45.843,45.516,46.171,44.862,3954.3,200512,,,,,,,,
2005-05-13,45.516,46.171,46.171,43.552,6357.77,200512,46.30159999999999,,,,,,,
2005-05-16,46.171,45.843,46.171,44.862,1255.48,200512,46.1706,,-0.014086627381822746,0.014086627381822746,,,,
2005-05-17,45.843,46.171,46.498,44.534,3971.12,200512,45.9744,,-0.020805055989141535,0.020805055989141535,,,,
2005-05-18,46.171,45.516,46.171,44.534,2329.06,200512,45.8434,,-0.014186394056875553,0.014186394056875553,,,,
2005-05-19,45.516,45.516,45.516,44.207,1937.54,200512,45.8434,,0.0,0.0,,,,
2005-05-20,45.189,45.843,45.843,45.189,1116.0,200512,45.7778,46.0397,-0.007104026336878037,0.007104026336878037,,,,
2005-05-23,45.189,44.207,45.516,43.552,5889.88,200512,45.450599999999994,45.81060000000001,-0.035687018737866255,0.035687018737866255,,,,
2005-05-24,43.88,44.862,45.189,43.552,2548.32,200512,45.1888,45.58160000000001,-0.028351129496870277,0.028351129496870277,,,,
2005-05-25,45.189,45.516,45.843,44.862,2165.5,200512,45.1888,45.51610000000001,0.0,0.0,,,,
2005-05-26,45.516,44.534,45.516,44.207,1276.21,200512,44.992399999999996,45.41790000000001,-0.021574830828719558,0.021574830828719558,,,,
2005-05-30,44.207,44.534,44.534,43.88,1828.88,200512,44.730599999999995,45.25420000000001,-0.028553977706520177,0.028553977706520177,38.460634547591084,,,
2005-05-31,45.189,44.862,45.189,44.207,1186.22,200512,44.861599999999996,45.15610000000001,0.01481665799534013,-0.01481665799534013,40.91319366093284,,,
2005-06-01,44.534,43.88,44.534,43.88,1718.0,200512,44.66519999999999,44.92700000000001,-0.021889349560875557,0.021889349560875557,36.25462771791541,,,
2005-06-02,43.552,43.225,45.189,42.898,4327.02,200512,44.206999999999994,44.69790000000001,-0.05033394850162574,0.05033394850162574,33.51353572909009,,,
2005-06-03,43.552,43.552,43.552,42.571,1239.25,200512,44.0106,44.50150000000001,-0.02205056810526787,0.02205056810526787,36.11058510885965,,,
2005-06-06,42.898,44.207,44.207,42.571,2264.93,200512,43.94519999999999,44.337900000000005,-0.007342704450532137,0.007342704450532137,41.075598035648085,,,
2005-06-07,44.207,43.552,44.207,43.225,1426.9,200512,43.68319999999999,44.27240000000001,-0.029200659801168077,0.029200659801168077,37.90344021880537,,,
2005-06-08,44.207,47.48,47.807,44.207,9163.23,200512,44.40319999999999,44.53420000000001,0.08204193254329978,-0.08204193254329978,58.567856913702954,,,
2005-06-09,47.48,47.48,48.134,46.498,7992.61,200512,45.25419999999999,44.73060000000001,0.09843840370156148,-0.09843840370156148,58.567856913702954,,,
2005-06-10,47.48,46.825,47.48,45.843,3924.43,200512,45.9088,44.95970000000001,0.07515154298310074,-0.07515154298310074,55.02652306864883,,,
2005-06-13,46.825,45.516,46.825,45.189,5134.7,200512,46.17059999999999,45.05790000000001,0.02961069513877887,-0.02961069513877887,48.6902669606782,,,
2005-06-14,45.843,45.516,47.152,45.189,6408.7,200512,46.563399999999994,45.123300000000015,0.04509551800146948,-0.04509551800146948,48.690266960678194,,,
2005-06-15,45.189,45.843,46.171,45.189,3264.9,200512,46.236000000000004,45.319600000000015,-0.03447767481044636,0.03447767481044636,50.34674560806182,,,
2005-06-16,46.989,45.909,46.989,45.189,2132.28,200512,45.921800000000005,45.58800000000001,-0.033087615838247646,0.033087615838247646,50.6927469328651,,,
2005-06-17,45.909,45.549,45.909,44.829,1845.98,200512,45.6666,45.78770000000001,-0.027250400427122335,0.027250400427122335,48.699338223380195,,,
2005-06-20,44.829,46.629,46.989,44.829,3327.28,200512,45.8892,46.02990000000001,0.024452939625626145,-0.024452939625626145,54.482139930311504,,,
2005-06-21,45.909,45.909,46.629,45.189,1988.18,200512,45.9678,46.265600000000006,0.008634326390719762,-0.008634326390719762,50.40303006232168,,,
2005-06-22,45.549,45.909,45.909,45.189,1367.73,200512,45.980999999999995,46.10850000000001,0.0014396963549504916,-0.0014396963549504916,50.40303006232168,,,
2005-06-23,45.909,45.549,45.909,45.189,1766.2,200512,45.909,45.9154,-0.007841599686336,0.007841599686336,48.305782314966315,,,
2005-06-24,45.189,46.269,46.269,44.829,3203.04,200512,46.053,45.8598,0.015807152736613293,-0.015807152736613293,52.55759808538676,0.073152684242757,-0.0874521539355489,0.1606048381783059
2005-06-27,46.629,46.629,47.349,46.269,5190.15,200512,46.053,45.9711,0.0,0.0,54.569623645045304,0.14008465648543478,-0.04194479185135217,0.18202944833678694
2005-06-28,46.989,45.549,46.989,45.549,1265.35,200512,45.981,45.974399999999996,-0.007841599686336,0.007841599686336,47.993696886382445,0.10477398338228028,-0.012601036804625682,0.11737502018690596
2005-06-29,45.909,44.469,45.909,44.469,2045.5,200512,45.693,45.836999999999996,-0.031366398745344,0.031366398745344,42.480760566611984,-0.010238925554745038,-0.012128614554649553,0.0018896889999045156
2005-06-30,45.189,44.829,45.189,44.469,4325.46,200512,45.549,45.729,-0.015807152736613293,0.015807152736613293,44.758618988961175,-0.07151412286376058,-0.02400571621647176,-0.047508406647288816
2005-07-01,44.109,44.469,44.829,43.749,2450.65,200512,45.189,45.620999999999995,-0.038902937171756406,0.038902937171756406,42.92783436745534,-0.1474247290418944,-0.04868951878155629,-0.09873521026033812
2005-07-04,44.469,41.589,44.469,39.789,7436.75,200512,44.181,45.117,-0.10808724184520362,0.10808724184520362,31.74197807854742,-0.43496238654280006,-0.12594409233380505,-0.309018294208995
2005-07-05,41.229,41.229,41.589,40.509,2226.73,200512,43.31699999999999,44.648999999999994,-0.09484291641967992,0.09484291641967992,30.66629039501555,-0.6840022904361831,-0.23755573195428065,-0.44644655848190246
2005-07-06,39.069,37.629,39.069,36.909,26148.52,200512,41.949,43.821,-0.15381501720299542,0.15381501720299542,22.46692103161475,-1.1585036135385636,-0.4217453082711372,-0.7367583052674264
2005-07-07,37.629,39.429,39.429,36.189,15636.94,200512,40.86899999999999,43.209,-0.12045773940975704,0.12045773940975704,32.224589364780265,-1.3734718454445485,-0.6120906157058195,-0.761381229738729
2005-07-08,39.429,40.509,40.869,37.989,11617.6,200512,40.077,42.633,-0.08905079943331311,0.08905079943331311,37.321570879095184,-1.440088302402863,-0.7776901530452281,-0.6623981493576349
2005-07-11,39.789,40.509,41.949,39.789,5326.77,200512,39.861000000000004,42.021,-0.025968405107119633,0.025968405107119633,37.321570879095184,-1.4758694205052123,-0.917326006537225,-0.5585434139679873
2005-07-12,40.509,41.589,42.309,39.789,5419.26,200512,39.93300000000001,41.62500000000001,0.0087317179655097,-0.0087317179655097,42.34975769178957,-1.4009301891551402,-1.014046843060808,-0.38688334609433217
2005-07-13,42.309,41.589,42.669,40.869,5995.0,200512,40.72500000000001,41.337,0.10523798134417606,-0.10523798134417606,42.34975769178957,-1.3262520997594436,-1.0764878944005352,-0.24976420535890842
2005-07-14,41.589,41.589,42.309,41.229,6150.92,200512,41.157000000000004,41.013000000000005,0.054782013238986446,-0.054782013238986446,42.34975769178957,-1.2526296411188298,-1.111716243744194,-0.1409133973746357
2005-07-15,41.589,41.589,42.309,41.229,9382.29,200512,41.373000000000005,40.72500000000001,0.026660742057320552,-0.026660742057320552,42.34975769178956,-1.1806732459887925,-1.1255076441931138,-0.055165601795678754
2005-07-18,41.589,39.429,41.589,38.709,6569.99,200512,41.157,40.509,-0.026660742057320552,0.026660742057320552,34.832681685678565,-1.2831498794796303,-1.1570360912504172,-0.12611378822921315
2005-07-19,37.989,41.589,42.309,37.989,9403.36,200512,41.157,40.545,0.0,0.0,45.290587903438976,-1.1765073572347902,-1.1609303444472918,-0.015577012787498346
2005-07-20,41.589,41.949,41.949,41.589,4216.86,200512,41.229,40.977000000000004,0.008656135035706544,-0.008656135035706544,46.82230251482731,-1.0508300835986901,-1.1389102922775716,0.08808020867888144
2005-07-21,41.589,41.589,41.949,39.429,5631.93,200512,41.229,41.193,0.0,0.0,45.45188656434701,-0.9691076602815372,-1.1049497658783647,0.13584210559682752
2005-07-22,41.589,41.949,42.669,41.589,11232.53,200512,41.301,41.337,0.008656135035706544,-0.008656135035706544,47.118697961493005,-0.8653182099871088,-1.0570234547001136,0.19170524471300476
2005-07-25,41.589,41.229,41.949,40.869,4971.14,200512,41.661,41.409,0.04565167769915537,-0.04565167769915537,44.20909940046241,-0.8315764103548702,-1.0119340458310648,0.18035763547619466
2005-07-26,41.589,42.309,42.669,41.589,5764.05,200512,41.805,41.480999999999995,0.01731227007141309,-0.01731227007141309,49.26949977648246,-0.7095100270492125,-0.9514492420746944,0.24193921502548188
2005-07-27,42.669,42.309,43.029,42.309,6187.23,200512,41.877,41.553,0.008581849388543217,-0.008581849388543217,49.26949977648246,-0.605788387398924,-0.8823170711395403,0.27652868374061623
2005-07-28,42.669,42.309,43.029,41.949,6425.95,200512,42.021,41.625,0.01731227007141309,-0.01731227007141309,49.269499776482455,-0.5176214231441563,-0.8093779415404635,0.29175651839630723
2005-07-29,42.669,42.309,42.669,41.229,7961.64,200512,42.093,41.697,0.008581849388543217,-0.008581849388543217,49.269499776482455,-0.44264592211099796,-0.7360315376545704,0.29338561554357245
2005-08-01,42.669,42.309,43.029,41.589,3441.67,200512,42.309,41.985,0.0261951538965291,-0.0261951538965291,49.269499776482455,-0.3788600347247737,-0.6645972370686111,0.28573720234383737
