date,open,close,high,low,volume,code
2005-05-09,0.987,0.924,1.001,0.919,11770.52,600789
2005-05-10,0.928,0.937,0.942,0.888,9943.08,600789
2005-05-11,0.937,0.906,0.951,0.897,10290.0,600789
2005-05-12,0.906,0.928,0.933,0.897,13013.54,600789
2005-05-13,0.915,0.933,0.951,0.901,10433.96,600789
2005-05-16,0.928,0.919,0.933,0.901,8394.47,600789
2005-05-17,0.91,0.946,0.955,0.91,16510.97,600789
2005-05-18,0.946,0.974,0.974,0.933,16641.85,600789
2005-05-19,0.965,0.965,0.978,0.946,11191.81,600789
2005-05-20,0.965,0.951,0.978,0.951,10119.4,600789
2005-05-23,0.933,0.906,0.933,0.888,10704.5,600789
2005-05-24,0.901,0.951,0.965,0.897,14011.19,600789
2005-05-25,0.937,0.955,0.978,0.933,17587.87,600789
2005-05-26,0.965,0.946,0.965,0.937,9601.54,600789
2005-05-27,0.933,0.937,0.955,0.924,6057.74,600789
2005-05-30,0.924,0.942,0.955,0.919,8597.96,600789
2005-05-31,0.933,0.974,0.983,0.933,26950.94,600789
2005-06-01,0.96,0.974,0.978,0.955,12233.75,600789
2005-06-02,0.978,0.969,0.996,0.969,22282.09,600789
2005-06-03,0.96,0.987,0.996,0.96,19252.5,600789
2005-06-06,0.983,0.978,0.996,0.942,13907.21,600789
2005-06-07,0.978,0.974,0.996,0.965,17062.26,600789
2005-06-08,0.96,1.06,1.073,0.96,50733.2,600789
2005-06-09,1.046,1.06,1.087,1.01,52950.73,600789
2005-06-10,1.051,1.028,1.06,1.019,28286.13,600789
2005-06-13,1.032,1.082,1.087,1.014,48201.09,600789
2005-06-14,1.096,1.028,1.109,1.019,104004.47,600789
2005-06-15,1.019,0.983,1.019,0.978,24216.98,600789
2005-06-16,0.978,0.987,0.996,0.965,11784.57,600789
2005-06-17,0.996,1.001,1.046,0.987,26732.75,600789
2005-06-20,1.01,1.023,1.032,0.969,19455.33,600789
2005-06-21,1.023,1.014,1.023,0.996,12090.99,600789
2005-06-22,1.023,1.037,1.055,1.01,41219.15,600789
2005-06-23,1.028,1.019,1.046,1.014,14574.01,600789
2005-06-24,1.019,1.046,1.051,1.01,16597.97,600789
2005-06-27,1.078,1.073,1.091,1.055,76278.05,600789
2005-06-28,1.069,1.032,1.069,1.028,17793.0,600789
2005-06-29,1.032,1.028,1.055,1.023,7910.18,600789
2005-06-30,1.032,0.978,1.041,0.974,17877.0,600789
2005-07-01,0.978,0.919,0.978,0.91,16334.0,600789
2005-07-04,0.915,0.915,0.919,0.883,14087.1,600789
2005-07-05,0.906,0.91,0.919,0.897,6040.16,600789
2005-07-06,0.901,0.906,0.924,0.897,5168.2,600789
2005-07-07,0.915,0.91,0.924,0.906,5997.0,600789
2005-07-08,0.915,0.847,0.919,0.833,12924.81,600789
