date,open,close,high,low,volume,code
2005-05-09,7.49,6.97,7.5,6.94,73351.97,600002
2005-05-10,6.95,7.27,7.3,6.89,74225.15,600002
2005-05-11,7.22,7.05,7.27,6.97,48779.32,600002
2005-05-12,7.0,6.79,7.16,6.77,94544.89,600002
2005-05-13,6.78,6.53,7.0,6.44,108548.27,600002
2005-05-16,6.52,6.41,6.57,6.36,56144.86,600002
2005-05-17,6.41,6.38,6.57,6.33,64680.02,600002
2005-05-18,6.37,6.08,6.49,5.98,95989.15,600002
2005-05-19,6.05,6.11,6.16,5.95,100627.46,600002
2005-05-20,6.08,6.17,6.22,6.06,73593.28,600002
2005-05-23,6.17,5.98,6.17,5.95,60317.69,600002
2005-05-24,5.95,6.07,6.11,5.93,37802.89,600002
2005-05-25,6.05,6.03,6.12,5.98,23633.12,600002
2005-05-26,6.03,5.98,6.13,5.96,35373.15,600002
2005-05-27,5.97,5.79,6.01,5.78,62182.72,600002
2005-05-30,5.73,5.87,5.9,5.54,54260.96,600002
2005-05-31,5.87,5.8,5.99,5.77,83996.95,600002
2005-06-01,5.89,5.84,6.04,5.81,166206.0,600002
2005-06-02,5.84,5.86,5.99,5.78,102646.83,600002
2005-06-03,5.83,5.56,5.84,5.46,102108.0,600002
2005-06-06,5.52,5.86,5.87,5.47,78843.29,600002
2005-06-07,5.87,5.78,6.07,5.75,120971.79,600002
2005-06-08,5.75,6.33,6.38,5.75,232734.62,600002
2005-06-09,6.32,6.38,6.48,6.2,242889.19,600002
2005-06-10,6.42,6.11,6.42,6.07,120839.36,600002
2005-06-13,6.12,6.15,6.22,5.98,78739.94,600002
2005-06-14,6.17,6.01,6.2,6.0,70535.25,600002
2005-06-15,6.0,5.79,6.0,5.78,64111.11,600002
2005-06-16,5.78,5.82,5.86,5.66,63613.88,600002
2005-06-17,5.85,5.72,5.88,5.68,60790.58,600002
2005-06-20,5.73,6.01,6.02,5.6,97192.26,600002
2005-06-21,5.99,5.89,6.01,5.88,60522.97,600002
2005-06-22,5.87,5.83,5.9,5.76,67695.57,600002
2005-06-23,5.82,6.14,6.19,5.77,194945.21,600002
2005-06-24,6.14,6.22,6.24,6.05,103495.43,600002
2005-06-27,6.31,6.26,6.5,6.23,191590.43,600002
2005-06-28,6.26,6.37,6.38,6.17,95747.14,600002
2005-06-29,6.36,6.36,6.47,6.29,92967.32,600002
2005-06-30,6.36,6.2,6.38,6.17,105556.0,600002
2005-07-01,6.15,6.18,6.24,6.13,43651.43,600002
2005-07-04,6.17,6.26,6.27,6.1,37063.74,600002
2005-07-05,6.25,6.03,6.29,5.96,77447.39,600002
2005-07-06,6.08,6.08,6.13,5.99,53004.06,600002
2005-07-07,6.08,6.12,6.18,6.04,36837.88,600002
2005-07-08,6.1,6.02,6.1,5.95,43786.92,600002
2005-07-11,6.11,6.05,6.22,6.0,45529.99,600002
2005-07-12,6.05,6.27,6.38,6.01,49476.17,600002
2005-07-13,6.28,6.32,6.35,6.17,92005.43,600002
2005-07-14,6.28,6.32,6.43,6.25,74613.36,600002
2005-07-15,6.32,6.23,6.36,6.21,33980.9,600002
2005-07-18,6.2,6.2,6.26,6.18,15124.36,600002
2005-07-19,6.2,6.31,6.32,6.18,25956.91,600002
2005-07-20,6.3,6.3,6.34,6.26,15911.06,600002
2005-07-21,6.3,6.29,6.36,6.26,29992.39,600002
2005-07-22,6.3,6.47,6.64,6.3,152850.47,600002
2005-07-25,6.47,6.33,6.48,6.23,100493.05,600002
2005-07-26,6.32,6.45,6.57,6.3,112348.73,600002
2005-07-27,6.42,6.69,6.76,6.4,180940.86,600002
2005-07-28,6.69,6.89,7.13,6.65,310357.58,600002
2005-07-29,6.87,6.9,7.02,6.83,103258.77,600002
2005-08-01,6.88,7.06,7.13,6.88,111891.21,600002
2005-08-02,7.06,7.11,7.16,6.93,122302.54,600002
2005-08-03,7.11,7.08,7.29,7.07,140659.36,600002
2005-08-04,7.08,6.95,7.08,6.9,79174.1,600002
2005-08-05,6.95,7.2,7.23,6.95,71559.31,600002
2005-08-08,7.23,7.24,7.35,7.21,108223.62,600002
2005-08-09,7.24,7.33,7.34,7.18,82540.84,600002
2005-08-10,7.3,7.23,7.32,7.09,87760.86,600002
2005-08-11,7.2,7.27,7.31,7.14,134164.14,600002
2005-08-12,7.29,7.09,7.34,7.07,103273.15,600002
2005-08-15,7.08,7.13,7.15,6.93,115295.15,600002
2005-08-16,7.13,6.88,7.14,6.8,180170.56,600002
2005-08-17,6.85,6.99,7.0,6.81,76479.08,600002
2005-08-18,6.99,6.73,7.02,6.72,105742.83,600002
2005-08-19,6.72,6.77,6.86,6.69,56546.04,600002
2005-08-22,6.77,6.88,6.95,6.71,72284.58,600002
2005-08-23,6.87,6.84,6.93,6.78,45134.68,600002
2005-08-24,6.84,6.98,7.04,6.83,101369.58,600002
2005-08-25,6.98,6.94,7.0,6.83,51204.47,600002
2005-08-26,6.94,6.85,6.96,6.84,37764.02,600002
2005-08-29,6.86,6.7,6.89,6.64,60549.81,600002
2005-08-30,6.7,6.69,6.77,6.64,46662.89,600002
2005-08-31,6.69,6.75,6.76,6.65,50875.37,600002
2005-09-01,6.74,6.86,6.88,6.68,76846.55,600002
2005-09-02,6.86,6.87,6.92,6.73,77179.25,600002
2005-09-05,6.87,6.84,6.87,6.75,54736.88,600002
2005-09-06,6.82,6.87,7.07,6.8,124748.8,600002
2005-09-07,6.9,7.01,7.02,6.86,70604.57,600002
2005-09-08,7.04,7.01,7.08,6.96,85263.0,600002
2005-09-09,7.0,6.88,7.08,6.87,49420.07,600002
2005-09-12,6.92,6.9,6.94,6.85,23776.67,600002
2005-09-13,6.92,7.0,7.01,6.85,42383.19,600002
2005-09-14,7.0,7.04,7.13,6.98,78689.99,600002
2005-09-15,7.03,6.97,7.08,6.94,56347.09,600002
2005-09-16,6.97,6.93,7.01,6.92,40397.87,600002
2005-09-19,6.93,6.88,6.94,6.83,52681.41,600002
2005-09-20,6.88,6.77,6.94,6.73,47900.5,600002
2005-09-21,6.77,6.69,6.81,6.67,42702.95,600002
2005-09-22,6.69,6.6,6.71,6.55,56400.05,600002
2005-09-23,6.6,6.64,6.71,6.58,28151.53,600002
2005-09-26,6.66,6.64,6.71,6.58,23286.0,600002
2005-09-27,6.64,6.4,6.66,6.39,27324.0,600002
2005-09-28,6.45,6.43,6.48,6.38,23961.18,600002
2005-09-29,6.45,6.6,6.61,6.45,42539.95,600002
2005-09-30,6.6,6.65,6.68,6.56,20392.02,600002
2005-10-10,6.63,6.54,6.63,6.52,14067.9,600002
2005-10-11,6.54,6.64,6.65,6.52,13609.0,600002
2005-10-12,6.64,6.64,6.68,6.58,32112.04,600002
2005-10-13,6.64,6.56,6.65,6.53,32011.04,600002
2005-10-14,6.56,6.51,6.64,6.48,19801.0,600002
2005-10-17,6.45,6.42,6.51,6.37,16011.28,600002
2005-10-18,6.4,6.5,6.53,6.38,16377.99,600002
2005-10-19,6.54,6.39,6.54,6.37,17273.25,600002
2005-10-20,6.36,6.4,6.42,6.21,29640.52,600002
2005-10-21,6.36,6.41,6.42,6.33,16629.16,600002
2005-10-24,6.42,6.4,6.43,6.36,11561.49,600002
2005-10-25,6.4,6.49,6.64,6.31,79258.86,600002
2005-10-26,6.48,6.23,6.5,6.22,28090.6,600002
2005-10-27,6.21,6.72,6.81,6.2,195601.9,600002
2005-10-28,6.78,6.53,6.79,6.47,130373.32,600002
2005-10-31,6.61,6.69,6.86,6.61,138653.7,600002
2005-11-01,6.68,6.75,6.81,6.6,62784.1,600002
2005-11-02,6.77,7.01,7.01,6.7,213832.65,600002
2005-11-03,7.02,7.35,7.7,6.92,564952.85,600002
2005-11-04,7.35,7.25,7.35,7.09,190962.17,600002
2005-11-07,7.25,7.19,7.25,6.91,171672.67,600002
2005-11-08,7.17,7.16,7.38,7.1,162059.98,600002
2005-11-09,7.15,6.99,7.25,6.97,152522.78,600002
2005-11-10,6.98,6.96,7.14,6.93,89482.0,600002
2005-11-11,6.95,7.06,7.13,6.94,74217.6,600002
2005-11-14,7.04,7.03,7.08,6.97,56218.91,600002
2005-11-15,7.05,7.23,7.3,7.05,186199.3,600002
2005-11-16,7.21,7.12,7.3,7.0,102494.16,600002
