date,open,close,high,low,volume,code,5日均线,10日均线,涨幅,跌幅,RSI,MACD,MACD_Signal,MACD_Histogram
2005-05-09,7.49,6.97,7.5,6.94,73351.97,600002,,,,,,,,
2005-05-10,6.95,7.27,7.3,6.89,74225.15,600002,,,,,,,,
2005-05-11,7.22,7.05,7.27,6.97,48779.32,600002,,,,,,,,
2005-05-12,7.0,6.79,7.16,6.77,94544.89,600002,,,,,,,,
2005-05-13,6.78,6.53,7.0,6.44,108548.27,600002,6.922,,,,,,,
2005-05-16,6.52,6.41,6.57,6.36,56144.86,600002,6.81,,-0.08034433285509321,0.08034433285509321,,,,
2005-05-17,6.41,6.38,6.57,6.33,64680.02,600002,6.632,,-0.12242090784044013,0.12242090784044013,,,,
2005-05-18,6.37,6.08,6.49,5.98,95989.15,600002,6.438,,-0.13758865248226948,0.13758865248226948,,,,
2005-05-19,6.05,6.11,6.16,5.95,100627.46,600002,6.302,,-0.10014727540500733,0.10014727540500733,,,,
2005-05-20,6.08,6.17,6.22,6.06,73593.28,600002,6.2299999999999995,6.575999999999999,-0.05513016845329254,0.05513016845329254,,,,
2005-05-23,6.17,5.98,6.17,5.95,60317.69,600002,6.144,6.476999999999999,-0.06708268330733225,0.06708268330733225,,,,
2005-05-24,5.95,6.07,6.11,5.93,37802.89,600002,6.082,6.357,-0.04858934169278991,0.04858934169278991,,,,
2005-05-25,6.05,6.03,6.12,5.98,23633.12,600002,6.072,6.255000000000001,-0.008223684210526286,0.008223684210526286,,,,
2005-05-26,6.03,5.98,6.13,5.96,35373.15,600002,6.046,6.174000000000001,-0.021276595744680833,0.021276595744680833,,,,
2005-05-27,5.97,5.79,6.01,5.78,62182.72,600002,5.970000000000001,6.1000000000000005,-0.061588330632090744,0.061588330632090744,22.429906542056067,,,
2005-05-30,5.73,5.87,5.9,5.54,54260.96,600002,5.948,6.046,-0.018394648829431492,0.018394648829431492,25.431928127159637,,,
2005-05-31,5.87,5.8,5.99,5.77,83996.95,600002,5.894,5.9879999999999995,-0.044481054365733186,0.044481054365733186,24.537108273067645,,,
2005-06-01,5.89,5.84,6.04,5.81,166206.0,600002,5.856,5.964,-0.03150912106135993,0.03150912106135993,26.13642068515421,,,
2005-06-02,5.84,5.86,5.99,5.78,102646.83,600002,5.832,5.939,-0.02006688963210704,0.02006688963210704,26.96982717982774,,,
2005-06-03,5.83,5.56,5.84,5.46,102108.0,600002,5.786,5.878,-0.03972366148531959,0.03972366148531959,22.81200483501079,,,
2005-06-06,5.52,5.86,5.87,5.47,78843.29,600002,5.784,5.866,-0.001703577512776795,0.001703577512776795,33.80243006050753,,,
2005-06-07,5.87,5.78,6.07,5.75,120971.79,600002,5.779999999999999,5.837,-0.003448275862068892,0.003448275862068892,32.47454282466882,,,
2005-06-08,5.75,6.33,6.38,5.75,232734.62,600002,5.878,5.866999999999999,0.08390410958904114,-0.08390410958904114,47.68919593164044,,,
2005-06-09,6.32,6.38,6.48,6.2,242889.19,600002,5.982,5.907,0.08873720136518763,-0.08873720136518763,48.81821670704202,,,
2005-06-10,6.42,6.11,6.42,6.07,120839.36,600002,6.0920000000000005,5.939,0.09892086330935265,-0.09892086330935265,43.374188756788705,,,
2005-06-13,6.12,6.15,6.22,5.98,78739.94,600002,6.15,5.9670000000000005,0.04948805460750853,-0.04948805460750853,44.36405119517655,,,
2005-06-14,6.17,6.01,6.2,6.0,70535.25,600002,6.196,5.988,0.03979238754325251,-0.03979238754325251,41.621641475859214,,,
2005-06-15,6.0,5.79,6.0,5.78,64111.11,600002,6.087999999999999,5.9830000000000005,-0.08530805687203792,0.08530805687203792,37.679882954045304,,,
2005-06-16,5.78,5.82,5.86,5.66,63613.88,600002,5.976,5.979000000000001,-0.08777429467084634,0.08777429467084634,38.534721160995566,,,
2005-06-17,5.85,5.72,5.88,5.68,60790.58,600002,5.898,5.995,-0.06382978723404265,0.06382978723404265,36.72631313518754,,,
2005-06-20,5.73,6.01,6.02,5.6,97192.26,600002,5.869999999999999,6.01,-0.022764227642276515,0.022764227642276515,44.81451123496492,,,
2005-06-21,5.99,5.89,6.01,5.88,60522.97,600002,5.845999999999999,6.021,-0.01996672212978371,0.01996672212978371,42.39929928128853,,,
2005-06-22,5.87,5.83,5.9,5.76,67695.57,600002,5.853999999999999,5.971,0.0069084628670120956,-0.0069084628670120956,41.20358804759727,,,
2005-06-23,5.82,6.14,6.19,5.77,194945.21,600002,5.917999999999999,5.947,0.0549828178694157,-0.0549828178694157,49.178251432859355,-0.1375597681985843,-0.20232358728490032,0.06476381908631604
2005-06-24,6.14,6.22,6.24,6.05,103495.43,600002,6.017999999999999,5.958,0.08741258741258742,-0.08741258741258742,51.02434932883929,-0.10408292770705074,-0.18267545536933041,0.07859252766227967
2005-06-27,6.31,6.26,6.5,6.23,191590.43,600002,6.068,5.968999999999999,0.0415973377703827,-0.0415973377703827,51.963915585239796,-0.07347762045348993,-0.1608358883861623,0.08735826793267237
2005-06-28,6.26,6.37,6.38,6.17,95747.14,600002,6.164,6.005,0.08149405772495763,-0.08149405772495763,54.5463727121653,-0.03988682279952105,-0.13664607526883404,0.096759252469313
2005-06-29,6.36,6.36,6.47,6.29,92967.32,600002,6.269999999999999,6.061999999999999,0.09090909090909095,-0.09090909090909095,54.26078233482977,-0.0139124164005473,-0.1120993434951767,0.0981869270946294
2005-06-30,6.36,6.2,6.38,6.17,105556.0,600002,6.281999999999998,6.1,0.00977198697068412,-0.00977198697068412,49.77068288469258,-0.006167084704479464,-0.09091289173703725,0.08474580703255778
2005-07-01,6.15,6.18,6.24,6.13,43651.43,600002,6.273999999999999,6.146,-0.006430868167202578,0.006430868167202578,49.22237165484537,-0.0016239663134918203,-0.07305510665232816,0.07143114033883634
2005-07-04,6.17,6.26,6.27,6.1,37063.74,600002,6.273999999999998,6.171,0.0,0.0,51.52293670873605,0.008335730047691392,-0.05677693931232425,0.06511266936001564
2005-07-05,6.25,6.03,6.29,5.96,77447.39,600002,6.205999999999998,6.1850000000000005,-0.053375196232339064,0.053375196232339064,45.18460289236057,-0.0023036614647455878,-0.04588228374280852,0.04357862227806293
2005-07-06,6.08,6.08,6.13,5.99,53004.06,600002,6.149999999999999,6.21,-0.04402515723270444,0.04402515723270444,46.71912345296079,-0.006624510524748217,-0.038030729099196456,0.03140621857444824
2005-07-07,6.08,6.12,6.18,6.04,36837.88,600002,6.133999999999999,6.208,-0.012903225806451623,0.012903225806451623,47.97389914269325,-0.006743414938998882,-0.031773266267156944,0.025029851328158062
2005-07-08,6.1,6.02,6.1,5.95,43786.92,600002,6.1019999999999985,6.188,-0.02588996763754048,0.02588996763754048,45.113504275238434,-0.014736933611827041,-0.028365999736090962,0.01362906612426392
2005-07-11,6.11,6.05,6.22,6.0,45529.99,600002,6.059999999999999,6.167,-0.03354632587859425,0.03354632587859425,46.15080838478754,-0.018438557260204824,-0.026380511240913736,0.007941953980708912
2005-07-12,6.05,6.27,6.38,6.01,49476.17,600002,6.107999999999999,6.156999999999999,0.03980099502487551,-0.03980099502487551,53.14423100710231,-0.0035787061897289973,-0.021820150230676787,0.01824144404094779
2005-07-13,6.28,6.32,6.35,6.17,92005.43,600002,6.155999999999999,6.153,0.03947368421052635,-0.03947368421052635,54.58772780616348,0.012093014235170507,-0.015037517337507328,0.027130531572677835
2005-07-14,6.28,6.32,6.43,6.25,74613.36,600002,6.195999999999999,6.164999999999999,0.03267973856209153,-0.03267973856209153,54.587727806163485,0.024233615545445453,-0.007183290760916771,0.03141690630636222
2005-07-15,6.32,6.23,6.36,6.21,33980.9,600002,6.237999999999999,6.169999999999999,0.0348837209302327,-0.0348837209302327,51.289197126014365,0.02628982893047116,-0.0004886668226391847,0.026778495753110344
2005-07-18,6.2,6.2,6.26,6.18,15124.36,600002,6.267999999999999,6.164,0.024793388429752126,-0.024793388429752126,50.20027938541066,0.025208060740044225,0.004650678689897498,0.020557382050146726
2005-07-19,6.2,6.31,6.32,6.18,25956.91,600002,6.275999999999998,6.191999999999999,0.006379585326953754,-0.006379585326953754,54.05230376960562,0.03284817898697412,0.010290178749312822,0.022558000237661295
