交易日期,相关_链接,平均市盈率,总股本_股,流通股本_股,总市值_元,流通市值_元,个股总数,沪深300,涨跌幅_,字段12,根据日期2023年12月5日分为：沪深两市、沪市主板、科创板、深市主板、创业板
2023/12/5,https://data.eastmoney.com/gzfx/list.html?date=2023-12-05,17.11,7.52万亿,6.79万亿,77.13万亿,67.15万亿,5094,3394.26,-1.9,,
2023/12/4,https://data.eastmoney.com/gzfx/list.html?date=2023-12-04,17.45,7.51万亿,6.79万亿,78.50万亿,68.37万亿,5093,3460.14,-0.65,,
2023/12/1,https://data.eastmoney.com/gzfx/list.html?date=2023-12-01,17.52,7.51万亿,6.78万亿,78.73万亿,68.55万亿,5093,3482.88,-0.38,,
2023/11/30,https://data.eastmoney.com/gzfx/list.html?date=2023-11-30,17.48,7.51万亿,6.78万亿,78.59万亿,68.45万亿,5092,3496.2,0.23,,
2023/11/29,https://data.eastmoney.com/gzfx/list.html?date=2023-11-29,17.53,7.51万亿,6.78万亿,78.58万亿,68.33万亿,5092,3488.31,-0.86,,
2023/11/28,https://data.eastmoney.com/gzfx/list.html?date=2023-11-28,17.64,7.51万亿,6.78万亿,79.08万亿,68.77万亿,5091,3518.52,0.19,,
2023/11/27,https://data.eastmoney.com/gzfx/list.html?date=2023-11-27,17.53,7.51万亿,6.78万亿,78.77万亿,68.54万亿,5090,3511.94,-0.74,,
2023/11/24,https://data.eastmoney.com/gzfx/list.html?date=2023-11-24,17.55,7.51万亿,6.78万亿,79.02万亿,68.78万亿,5090,3538.01,-0.66,,
2023/11/23,https://data.eastmoney.com/gzfx/list.html?date=2023-11-23,17.76,7.51万亿,6.78万亿,79.72万亿,69.31万亿,5090,3561.52,0.48,,
2023/11/22,https://data.eastmoney.com/gzfx/list.html?date=2023-11-22,17.61,7.51万亿,6.77万亿,79.16万亿,68.83万亿,5090,3544.42,-1.02,,
2023/11/21,https://data.eastmoney.com/gzfx/list.html?date=2023-11-21,17.84,7.51万亿,6.77万亿,79.94万亿,69.50万亿,5090,3581.07,0.13,,
2023/11/20,https://data.eastmoney.com/gzfx/list.html?date=2023-11-20,17.93,7.51万亿,6.77万亿,80.10万亿,69.57万亿,5090,3576.32,0.23,,
2023/11/17,https://data.eastmoney.com/gzfx/list.html?date=2023-11-17,17.83,7.51万亿,6.77万亿,79.66万亿,69.20万亿,5090,3568.07,-0.12,,
2023/11/16,https://data.eastmoney.com/gzfx/list.html?date=2023-11-16,17.73,7.50万亿,6.77万亿,79.43万亿,69.04万亿,5089,3572.36,-0.97,,
2023/11/15,https://data.eastmoney.com/gzfx/list.html?date=2023-11-15,17.93,7.50万亿,6.77万亿,80.11万亿,69.58万亿,5088,3607.25,0.7,,
2023/11/14,https://data.eastmoney.com/gzfx/list.html?date=2023-11-14,17.83,7.50万亿,6.77万亿,79.63万亿,69.15万亿,5088,3582.06,0.07,,
