月份,当月,当月同比增长,累计
2023年10月份,97.4,-2.60%,96.9
2023年09月份,97.5,-2.50%,96.9
2023年08月份,97,-3.00%,96.8
2023年07月份,95.6,-4.40%,96.8
2023年06月份,94.6,-5.40%,96.9
2023年05月份,95.4,-4.60%,97.4
2023年04月份,96.4,-3.60%,97.9
2023年03月份,97.5,-2.50%,98.4
2023年02月份,98.6,-1.40%,98.9
2023年01月份,99.2,-0.80%,99.2
2022年12月份,99.3,-0.70%,104.1
2022年11月份,98.7,-1.30%,104.6
2022年10月份,98.7,-1.30%,105.2
2022年09月份,100.95,0.90%,105.94
2022年08月份,102.3,2.30%,106.6
2022年07月份,104.2,4.20%,107.2
2022年06月份,106.1,6.10%,107.7
2022年05月份,106.4,6.40%,108.1
2022年04月份,108,8.00%,108.5
2022年03月份,108.3,8.30%,108.7
2022年02月份,108.8,8.80%,108.9
2022年01月份,109.1,9.10%,109.1
2021年12月份,110.3,10.30%,108.1
2021年11月份,112.9,12.90%,107.9
2021年10月份,113.5,13.50%,107.3
2021年09月份,110.7,10.70%,106.7
2021年08月份,109.5,9.50%,106.2
2021年07月份,109,9.00%,105.7
2021年06月份,108.8,8.80%,105.1
2021年05月份,109,9.00%,104.4
2021年04月份,106.8,6.80%,103.3
2021年03月份,104.4,4.40%,102.1
2021年02月份,101.7,1.70%,101
2021年01月份,100.3,0.30%,100.3
2020年12月份,99.6,-0.40%,98.2
2020年11月份,98.5,-1.50%,98
2020年10月份,97.9,-2.10%,98
2020年09月份,97.9,-2.10%,98
2020年08月份,98,-2.00%,98
2020年07月份,97.6,-2.40%,98
2020年06月份,97,-3.00%,98.1
2020年05月份,96.3,-3.70%,98.3
2020年04月份,96.9,-3.10%,98.8
2020年03月份,98.5,-1.50%,99.4
2020年02月份,99.6,-0.40%,99.8
2020年01月份,100.1,0.10%,100.1
2019年12月份,99.5,-0.50%,99.7
2019年11月份,98.6,-1.40%,99.7
2019年10月份,98.4,-1.60%,99.8
2019年09月份,98.8,-1.20%,100
2019年08月份,99.2,-0.80%,100.1
2019年07月份,99.7,-0.30%,100.2
2019年06月份,100,0.00%,100.3
2019年05月份,100.6,0.60%,100.4
2019年04月份,100.9,0.90%,100.3
2019年03月份,100.4,0.40%,100.2
2019年02月份,100.1,0.10%,100.1
2019年01月份,100.1,0.10%,100.1
2018年12月份,100.9,0.90%,103.5
2018年11月份,102.7,2.70%,103.8
2018年10月份,103.3,3.30%,103.9
2018年09月份,103.6,3.60%,104
2018年08月份,104.1,4.10%,104
2018年07月份,104.6,4.60%,104
2018年06月份,104.7,4.70%,103.9
2018年05月份,104.1,4.10%,103.7
2018年04月份,103.4,3.40%,103.6
2018年03月份,103.1,3.10%,103.7
2018年02月份,103.7,3.70%,104
2018年01月份,104.3,4.30%,104.3
2017年12月份,104.9,4.90%,106.3
2017年11月份,105.8,5.80%,106.4
2017年10月份,106.9,6.90%,106.5
2017年09月份,106.9,6.90%,106.5
2017年08月份,106.4,6.30%,106.4
2017年07月份,105.5,5.50%,106.4
2017年06月份,105.5,5.50%,106.6
2017年05月份,105.5,5.50%,106.8
2017年04月份,106.4,6.40%,107.2
2017年03月份,107.6,7.60%,107.4
2017年02月份,107.8,7.80%,107.3
2017年01月份,106.9,6.90%,106.9
2016年12月份,105.5,5.50%,98.6
2016年11月份,103.3,3.30%,98
2016年10月份,101.2,1.20%,97.5
2016年09月份,100.1,0.10%,97.1
2016年08月份,99.2,-0.80%,96.8
2016年07月份,98.3,-1.70%,96.4
2016年06月份,97.4,-2.60%,96.1
2016年05月份,97.2,-2.80%,95.9
2016年04月份,96.62,-3.40%,95.53
2016年03月份,95.68,-4.30%,95.16
2016年02月份,95.1,-4.90%,94.9
2016年01月份,94.7,-5.30%,94.72
2015年12月份,94.1,-5.90%,94.8
2015年11月份,94.1,-5.90%,94.8
2015年10月份,94.1,-5.90%,94.9
2015年09月份,94.06,-5.94%,95.01
2015年08月份,94.08,-5.92%,95.13
2015年07月份,94.63,-5.37%,95.28
2015年06月份,95.19,-4.81%,95.39
2015年05月份,95.39,-4.61%,95.43
2015年04月份,95.43,-4.57%,95.44
2015年03月份,95.44,-4.56%,95.44
2015年02月份,95.2,-4.80%,95.44
2015年01月份,95.68,-4.32%,95.68
2014年12月份,96.68,-3.32%,98.11
2014年11月份,97.31,-2.69%,98.24
2014年10月份,97.76,-2.24%,98.33
2014年09月份,98.2,-1.80%,98.4
2014年08月份,98.8,-1.20%,98.42
2014年07月份,99.13,-0.87%,98.37
2014年06月份,98.89,-1.11%,98.24
2014年05月份,98.55,-1.45%,98.12
2014年04月份,98,-2.00%,98.01
2014年03月份,97.7,-2.30%,98.01
2014年02月份,97.98,-2.02%,98.17
2014年01月份,98.36,-1.64%,98.36
2013年12月份,98.64,-1.36%,98.09
2013年11月份,98.58,-1.42%,98.04
2013年10月份,98.49,-1.51%,97.99
2013年09月份,98.66,-1.34%,97.93
2013年08月份,98.38,-1.62%,97.84
2013年07月份,97.73,-2.27%,97.77
2013年06月份,97.3,-2.70%,97.77
2013年05月份,97.13,-2.87%,97.87
2013年04月份,97.38,-2.62%,98.05
2013年03月份,98.08,-1.92%,98.27
2013年02月份,98.37,-1.63%,98.37
2013年01月份,98.36,-1.64%,98.36
2012年12月份,98.06,-1.94%,98.28
2012年11月份,97.8,-2.20%,98.3
2012年10月份,97.24,-2.76%,98.35
2012年09月份,96.45,-3.55%,98.47
2012年08月份,96.52,-3.48%,98.73
2012年07月份,97.13,-2.87%,99.05
2012年06月份,97.92,-2.08%,99.37
2012年05月份,98.6,-1.40%,99.66
2012年04月份,99.3,-0.70%,99.93
2012年03月份,99.68,-0.32%,100.15
2012年02月份,100.03,0.03%,100.38
2012年01月份,100.73,0.73%,100.73
2011年12月份,101.69,1.69%,106.03
2011年11月份,102.72,2.72%,106.44
2011年10月份,105,5.00%,106.82
2011年09月份,106.52,6.52%,107.02
2011年08月份,107.25,7.25%,107.09
2011年07月份,107.54,7.54%,107.06
2011年06月份,107.12,7.12%,106.98
2011年05月份,106.79,6.79%,106.96
2011年04月份,106.82,6.82%,107
2011年03月份,107.31,7.31%,107.06
2011年02月份,107.23,7.23%,106.94
2011年01月份,106.64,6.64%,106.64
2010年12月份,105.93,5.93%,105.54
2010年11月份,106.06,6.06%,105.51
2010年10月份,105.04,5.04%,105.45
2010年09月份,104.33,4.33%,105.5
2010年08月份,104.32,4.32%,105.64
2010年07月份,104.84,4.84%,105.83
2010年06月份,106.41,6.41%,106
2010年05月份,107.13,7.13%,105.9
2010年04月份,106.81,6.81%,105.61
2010年03月份,105.91,5.91%,105.21
2010年02月份,105.39,5.39%,104.86
2010年01月份,104.32,4.32%,104.32
2009年12月份,101.7,1.70%,94.61
2009年11月份,97.92,-2.08%,93.96
2009年10月份,94.15,-5.85%,93.57
2009年09月份,93.01,-6.99%,93.5
2009年08月份,92.14,-7.86%,93.56
2009年07月份,91.78,-8.22%,93.76
2009年06月份,92.2,-7.80%,94.1
2009年05月份,92.8,-7.20%,94.48
2009年04月份,93.4,-6.60%,94.9
2009年03月份,94.01,-5.99%,95.4
2009年02月份,95.53,-4.47%,96.1
2009年01月份,96.65,-3.35%,96.65
2008年12月份,98.86,-1.14%,106.87
2008年11月份,101.99,1.99%,107.6
2008年10月份,106.59,6.59%,108.16
2008年09月份,109.13,9.13%,108.34
2008年08月份,110.06,10.06%,108.2
2008年07月份,110.03,10.03%,108
2008年06月份,108.84,8.84%,107.6
2008年05月份,108.22,8.22%,107.4
2008年04月份,108.12,8.12%,107.2
2008年03月份,107.95,7.95%,106.9
2008年02月份,106.62,6.62%,106.4
2008年01月份,106.07,6.07%,106.07
2007年12月份,105.43,5.43%,103.1
2007年11月份,104.55,4.55%,102.9
2007年10月份,103.21,3.21%,102.8
2007年09月份,102.71,2.71%,102.7
2007年08月份,102.56,2.56%,102.7
2007年07月份,102.39,2.39%,102.7
2007年06月份,102.49,2.49%,102.8
2007年05月份,102.76,2.76%,102.8
2007年04月份,102.87,2.87%,102.9
2007年03月份,102.65,2.65%,102.9
2007年02月份,102.6,2.60%,103
2007年01月份,103.3,3.30%,103.3
2006年12月份,103.05,3.05%,103
2006年11月份,102.78,2.78%,103
2006年10月份,102.9,2.90%,103
2006年09月份,103.45,3.45%,103
