月份,消费者信心指数_指数值,消费者信心指数_同比增长,消费者信心指数_环比增长,消费者满意指数_指数值,消费者满意指数_同比增长,消费者满意指数_环比增长,消费者预期指数_指数值,消费者预期指数_同比增长,消费者预期指数_环比增长,,,,,,,,,
2023年10月份,87.9,1.27%,0.80%,87.8,0.80%,1.39%,88,1.97%,-0.11%,,,,,,,,,
2023年09月份,87.2,0.00%,0.81%,86.6,0.12%,0.35%,88.1,-0.34%,1.50%,,,,,,,,,
2023年08月份,86.5,-0.57%,0.12%,86.3,-0.23%,0.00%,86.8,-1.25%,0.23%,,,,,,,,,
2023年07月份,86.4,-1.71%,0.00%,86.3,-0.46%,0.47%,86.6,-3.35%,-0.69%,,,,,,,,,
2023年06月份,86.4,-2.81%,-2.04%,85.9,-1.83%,-1.38%,87.2,-4.18%,-2.79%,,,,,,,,,
2023年05月份,88.2,1.61%,1.26%,87.1,1.04%,1.28%,89.7,2.28%,1.13%,,,,,,,,,
2023年04月份,87.1,0.46%,-8.22%,86,-0.58%,-7.33%,88.7,2.19%,-9.49%,,,,,,,,,
2023年03月份,94.9,-16.17%,0.21%,92.8,-15.94%,0.54%,98,-15.66%,-0.41%,,,,,,,,,
2023年02月份,94.7,-21.41%,3.84%,92.3,-19.95%,3.01%,98.4,-20.58%,5.02%,,,,,,,,,
2023年01月份,91.2,-24.94%,3.28%,89.6,-23.42%,2.87%,93.7,-24.74%,4.00%,,,,,,,,,
2022年12月份,88.3,-26.29%,3.27%,87.1,-24.59%,0.93%,90.1,-26.57%,7.01%,,,,,,,,,
2022年11月份,85.5,-28.45%,-1.50%,86.3,-24.76%,-0.92%,84.2,-31.32%,-2.43%,,,,,,,,,
2022年10月份,86.8,-27.79%,-0.46%,87.1,-24.98%,0.69%,86.3,-29.78%,-2.38%,,,,,,,,,
2022年09月份,87.2,-28.05%,0.23%,86.5,-25.62%,0.00%,88.4,-29.00%,0.57%,,,,,,,,,
2022年08月份,87,-25.96%,-1.02%,86.5,-24.91%,-0.23%,87.9,-26.13%,-1.90%,,,,,,,,,
2022年07月份,87.9,-25.38%,-1.12%,86.7,-23.95%,-0.91%,89.6,-25.58%,-1.54%,,,,,,,,,
2022年06月份,88.9,-27.61%,2.42%,87.5,-25.53%,1.51%,91,-27.95%,3.76%,,,,,,,,,
2022年05月份,86.8,-28.74%,0.12%,86.2,-25.95%,-0.35%,87.7,-30.06%,1.04%,,,,,,,,,
2022年04月份,86.7,-28.64%,-23.41%,86.5,-24.72%,-21.65%,86.8,-31.06%,-25.30%,,,,,,,,,
2022年03月份,113.2,-7.36%,-6.06%,110.4,-4.33%,-4.25%,116.2,-8.29%,-6.21%,,,,,,,,,
