date,open,close,high,low,volume,code
2010-05-28,-1.039,-0.821,-0.761,-1.101,340983.54,002415
2010-05-31,-0.601,-0.65,-0.496,-0.733,172278.73,002415
2010-06-01,-0.594,-0.525,-0.483,-0.696,109946.8,002415
2010-06-02,-0.678,-0.589,-0.572,-0.804,94962.64,002415
2010-06-03,-0.594,-0.839,-0.551,-0.872,75605.22,002415
2010-06-04,-0.925,-0.869,-0.767,-0.926,50877.72,002415
2010-06-07,-1.016,-0.865,-0.784,-1.016,46768.06,002415
2010-06-08,-0.894,-0.967,-0.794,-1.071,55143.13,002415
2010-06-09,-0.978,-0.861,-0.796,-1.01,44958.39,002415
2010-06-10,-0.9,-0.733,-0.691,-0.913,36192.26,002415
2010-06-11,-0.706,-0.696,-0.656,-0.784,37850.7,002415
2010-06-17,-0.694,-0.928,-0.666,-0.967,33014.53,002415
2010-06-18,-0.988,-0.951,-0.876,-1.01,19239.0,002415
2010-06-21,-0.983,-0.983,-0.962,-1.261,23654.97,002415
2010-06-22,-1.039,-1.067,-0.964,-1.101,11907.46,002415
2010-06-23,-1.122,-1.028,-1.011,-1.147,12902.47,002415
2010-06-24,-1.049,-1.006,-0.994,-1.054,11781.16,002415
2010-06-28,-1.012,-1.206,-1.012,-1.216,22415.03,002415
2010-06-29,-1.206,-1.507,-1.206,-1.529,19273.04,002415
2010-06-30,-1.552,-1.522,-1.456,-1.706,12763.16,002415
2010-07-01,-1.539,-1.572,-1.495,-1.592,7047.92,002415
2010-07-02,-1.586,-1.669,-1.561,-1.839,17593.15,002415
2010-07-05,-1.761,-1.601,-1.596,-1.806,10423.55,002415
2010-07-06,-1.65,-1.559,-1.511,-1.688,10106.88,002415
2010-07-07,-1.531,-1.513,-1.511,-1.641,8628.28,002415
2010-07-08,-1.483,-1.498,-1.457,-1.567,9383.42,002415
2010-07-09,-1.498,-1.398,-1.346,-1.543,8821.25,002415
2010-07-12,-1.378,-1.417,-1.378,-1.483,12880.0,002415
2010-07-13,-1.456,-1.548,-1.456,-1.566,6008.91,002415
2010-07-14,-1.517,-1.53,-1.494,-1.586,8360.79,002415
2010-07-15,-1.534,-1.602,-1.489,-1.602,5017.14,002415
2010-07-16,-1.612,-1.703,-1.612,-1.744,11960.82,002415
2010-07-19,-1.733,-1.661,-1.651,-1.748,7425.78,002415
2010-07-20,-1.678,-1.5,-1.491,-1.678,10751.82,002415
2010-07-21,-1.5,-1.456,-1.389,-1.528,13002.42,002415
2010-07-22,-1.486,-1.441,-1.44,-1.522,6230.32,002415
2010-07-23,-1.422,-1.466,-1.369,-1.494,8561.08,002415
2010-07-26,-1.452,-1.413,-1.406,-1.481,15349.83,002415
2010-07-27,-1.422,-1.467,-1.39,-1.467,9074.82,002415
2010-07-28,-1.503,-1.388,-1.378,-1.511,13489.15,002415
2010-07-29,-1.383,-1.342,-1.301,-1.385,13924.8,002415
2010-07-30,-1.342,-1.371,-1.342,-1.426,9141.86,002415
2010-08-02,-1.372,-1.217,-1.211,-1.382,15153.82,002415
2010-08-03,-1.217,-1.161,-1.109,-1.246,15329.26,002415
2010-08-04,-1.178,-1.056,-1.056,-1.205,12326.02,002415
2010-08-05,-1.056,-1.083,-1.024,-1.111,8129.31,002415
2010-08-06,-1.103,-0.928,-0.886,-1.111,13800.84,002415
2010-08-09,-0.933,-0.864,-0.802,-0.956,8743.0,002415
2010-08-10,-0.881,-1.031,-0.846,-1.06,9615.6,002415
2010-08-11,-1.068,-1.011,-0.942,-1.121,5975.07,002415
2010-08-12,-1.033,-1.131,-0.999,-1.154,6113.78,002415
2010-08-13,-1.114,-1.044,-1.036,-1.131,6460.39,002415
2010-08-16,-1.012,-1.0,-0.993,-1.072,8573.93,002415
2010-08-17,-0.997,-0.933,-0.787,-0.997,11074.21,002415
2010-08-18,-0.933,-1.054,-0.913,-1.054,9146.89,002415
2010-08-19,-1.068,-1.053,-0.984,-1.072,6408.27,002415
2010-08-20,-1.066,-1.123,-1.024,-1.144,7205.44,002415
2010-08-23,-1.124,-1.147,-1.091,-1.233,10197.68,002415
2010-08-24,-1.146,-1.093,-1.057,-1.192,5926.6,002415
2010-08-25,-1.122,-1.133,-0.997,-1.178,8377.34,002415
